Time,Value,MEASURE,Description
2011,19.2,ERP_6,Persons - 0-14 years (%)
2012,19.1,ERP_6,Persons - 0-14 years (%)
2013,19.1,ERP_6,Persons - 0-14 years (%)
2014,19.1,ERP_6,Persons - 0-14 years (%)
2015,19.1,ERP_6,Persons - 0-14 years (%)
2016,18.9,ERP_6,Persons - 0-14 years (%)
2011,13.1,ERP_7,Persons - 15-24 years (%)
2012,13,ERP_7,Persons - 15-24 years (%)
2013,12.6,ERP_7,Persons - 15-24 years (%)
2014,12.6,ERP_7,Persons - 15-24 years (%)
2015,12.6,ERP_7,Persons - 15-24 years (%)
2016,12.8,ERP_7,Persons - 15-24 years (%)
2011,9.3,ERP_8,Persons - 25-34 years (%)
2012,9.6,ERP_8,Persons - 25-34 years (%)
2013,9.6,ERP_8,Persons - 25-34 years (%)
2014,9.6,ERP_8,Persons - 25-34 years (%)
2015,9.6,ERP_8,Persons - 25-34 years (%)
2016,9.3,ERP_8,Persons - 25-34 years (%)
2011,14,ERP_9,Persons - 35-44 years (%)
2012,13.3,ERP_9,Persons - 35-44 years (%)
2013,12.8,ERP_9,Persons - 35-44 years (%)
2014,12.5,ERP_9,Persons - 35-44 years (%)
2015,11.9,ERP_9,Persons - 35-44 years (%)
2016,11.6,ERP_9,Persons - 35-44 years (%)
2011,16.1,ERP_10,Persons - 45-54 years (%)
2012,16.2,ERP_10,Persons - 45-54 years (%)
2013,15.9,ERP_10,Persons - 45-54 years (%)
2014,16,ERP_10,Persons - 45-54 years (%)
2015,16.2,ERP_10,Persons - 45-54 years (%)
2016,16.5,ERP_10,Persons - 45-54 years (%)
2011,13.6,ERP_11,Persons - 55-64 years (%)
2012,13.7,ERP_11,Persons - 55-64 years (%)
2013,14,ERP_11,Persons - 55-64 years (%)
2014,14.1,ERP_11,Persons - 55-64 years (%)
2015,14.2,ERP_11,Persons - 55-64 years (%)
2016,14.3,ERP_11,Persons - 55-64 years (%)
2011,8.7,ERP_12,Persons - 65-74 years (%)
2012,9.2,ERP_12,Persons - 65-74 years (%)
2013,9.5,ERP_12,Persons - 65-74 years (%)
2014,9.9,ERP_12,Persons - 65-74 years (%)
2015,10.3,ERP_12,Persons - 65-74 years (%)
2016,10.6,ERP_12,Persons - 65-74 years (%)
2011,6.5,ERP_13,Persons - 75-84 years (%)
2012,6.5,ERP_13,Persons - 75-84 years (%)
2013,6.4,ERP_13,Persons - 75-84 years (%)
2014,6.1,ERP_13,Persons - 75-84 years (%)
2015,6,ERP_13,Persons - 75-84 years (%)
2016,5.8,ERP_13,Persons - 75-84 years (%)
2011,2.7,ERP_14,Persons - 85 years and over (%)
2012,2.9,ERP_14,Persons - 85 years and over (%)
2013,3,ERP_14,Persons - 85 years and over (%)
2014,3.1,ERP_14,Persons - 85 years and over (%)
2015,3.2,ERP_14,Persons - 85 years and over (%)
2016,3.3,ERP_14,Persons - 85 years and over (%)
2011,365,ERP_M_2,Males - 0-4 years (no.)
2012,355,ERP_M_2,Males - 0-4 years (no.)
2013,347,ERP_M_2,Males - 0-4 years (no.)
2014,337,ERP_M_2,Males - 0-4 years (no.)
2015,329,ERP_M_2,Males - 0-4 years (no.)
2016,303,ERP_M_2,Males - 0-4 years (no.)
2011,486,ERP_M_3,Males - 5-9 years (no.)
2012,484,ERP_M_3,Males - 5-9 years (no.)
2013,485,ERP_M_3,Males - 5-9 years (no.)
2014,495,ERP_M_3,Males - 5-9 years (no.)
2015,490,ERP_M_3,Males - 5-9 years (no.)
2016,489,ERP_M_3,Males - 5-9 years (no.)
2011,471,ERP_M_4,Males - 10-14 years (no.)
2012,470,ERP_M_4,Males - 10-14 years (no.)
2013,487,ERP_M_4,Males - 10-14 years (no.)
2014,484,ERP_M_4,Males - 10-14 years (no.)
2015,515,ERP_M_4,Males - 10-14 years (no.)
2016,536,ERP_M_4,Males - 10-14 years (no.)
2011,468,ERP_M_5,Males - 15-19 years (no.)
2012,461,ERP_M_5,Males - 15-19 years (no.)
2013,460,ERP_M_5,Males - 15-19 years (no.)
2014,464,ERP_M_5,Males - 15-19 years (no.)
2015,462,ERP_M_5,Males - 15-19 years (no.)
