Time,Value,MEASURE,Description
2011,16.6,ERP_6,Persons - 0-14 years (%)
2012,16.6,ERP_6,Persons - 0-14 years (%)
2013,16.7,ERP_6,Persons - 0-14 years (%)
2014,16.8,ERP_6,Persons - 0-14 years (%)
2015,17,ERP_6,Persons - 0-14 years (%)
2016,17.4,ERP_6,Persons - 0-14 years (%)
2011,12.6,ERP_7,Persons - 15-24 years (%)
2012,12.3,ERP_7,Persons - 15-24 years (%)
2013,12,ERP_7,Persons - 15-24 years (%)
2014,11.7,ERP_7,Persons - 15-24 years (%)
2015,11.4,ERP_7,Persons - 15-24 years (%)
2016,11.1,ERP_7,Persons - 15-24 years (%)
2011,14.8,ERP_8,Persons - 25-34 years (%)
2012,14.8,ERP_8,Persons - 25-34 years (%)
2013,14.8,ERP_8,Persons - 25-34 years (%)
2014,14.8,ERP_8,Persons - 25-34 years (%)
2015,14.5,ERP_8,Persons - 25-34 years (%)
2016,14.2,ERP_8,Persons - 25-34 years (%)
2011,13.7,ERP_9,Persons - 35-44 years (%)
2012,13.8,ERP_9,Persons - 35-44 years (%)
2013,14,ERP_9,Persons - 35-44 years (%)
2014,13.9,ERP_9,Persons - 35-44 years (%)
2015,13.8,ERP_9,Persons - 35-44 years (%)
2016,13.9,ERP_9,Persons - 35-44 years (%)
2011,12.9,ERP_10,Persons - 45-54 years (%)
2012,12.7,ERP_10,Persons - 45-54 years (%)
2013,12.5,ERP_10,Persons - 45-54 years (%)
2014,12.4,ERP_10,Persons - 45-54 years (%)
2015,12.2,ERP_10,Persons - 45-54 years (%)
2016,12.1,ERP_10,Persons - 45-54 years (%)
2011,12.9,ERP_11,Persons - 55-64 years (%)
2012,12.7,ERP_11,Persons - 55-64 years (%)
2013,12.5,ERP_11,Persons - 55-64 years (%)
2014,12.3,ERP_11,Persons - 55-64 years (%)
2015,12.1,ERP_11,Persons - 55-64 years (%)
2016,11.8,ERP_11,Persons - 55-64 years (%)
2011,8.7,ERP_12,Persons - 65-74 years (%)
2012,9,ERP_12,Persons - 65-74 years (%)
2013,9.2,ERP_12,Persons - 65-74 years (%)
2014,9.3,ERP_12,Persons - 65-74 years (%)
2015,9.3,ERP_12,Persons - 65-74 years (%)
2016,9.5,ERP_12,Persons - 65-74 years (%)
2011,5,ERP_13,Persons - 75-84 years (%)
2012,5,ERP_13,Persons - 75-84 years (%)
2013,5.2,ERP_13,Persons - 75-84 years (%)
2014,5.4,ERP_13,Persons - 75-84 years (%)
2015,5.4,ERP_13,Persons - 75-84 years (%)
2016,5.4,ERP_13,Persons - 75-84 years (%)
2011,2.2,ERP_14,Persons - 85 years and over (%)
2012,2.3,ERP_14,Persons - 85 years and over (%)
2013,2.4,ERP_14,Persons - 85 years and over (%)
2014,2.3,ERP_14,Persons - 85 years and over (%)
2015,2.4,ERP_14,Persons - 85 years and over (%)
2016,2.4,ERP_14,Persons - 85 years and over (%)
2011,688,ERP_M_2,Males - 0-4 years (no.)
2012,705,ERP_M_2,Males - 0-4 years (no.)
2013,717,ERP_M_2,Males - 0-4 years (no.)
2014,734,ERP_M_2,Males - 0-4 years (no.)
2015,763,ERP_M_2,Males - 0-4 years (no.)
2016,816,ERP_M_2,Males - 0-4 years (no.)
2011,595,ERP_M_3,Males - 5-9 years (no.)
2012,595,ERP_M_3,Males - 5-9 years (no.)
2013,602,ERP_M_3,Males - 5-9 years (no.)
2014,628,ERP_M_3,Males - 5-9 years (no.)
2015,664,ERP_M_3,Males - 5-9 years (no.)
2016,686,ERP_M_3,Males - 5-9 years (no.)
2011,545,ERP_M_4,Males - 10-14 years (no.)
2012,552,ERP_M_4,Males - 10-14 years (no.)
2013,570,ERP_M_4,Males - 10-14 years (no.)
2014,572,ERP_M_4,Males - 10-14 years (no.)
2015,575,ERP_M_4,Males - 10-14 years (no.)
2016,587,ERP_M_4,Males - 10-14 years (no.)
2011,615,ERP_M_5,Males - 15-19 years (no.)
2012,591,ERP_M_5,Males - 15-19 years (no.)
2013,573,ERP_M_5,Males - 15-19 years (no.)
2014,562,ERP_M_5,Males - 15-19 years (no.)
2015,564,ERP_M_5,Males - 15-19 years (no.)
2016,540,ERP_M_5,Males - 15-19 years (no.)
2011,746,ERP_M_6,Males - 20-24 years (no.)
2012,740,ERP_M_6,Males - 20-24 years (no.)
2013,736,ERP_M_6,Males - 20-24 years (no.)
2014,729,ERP_M_6,Males - 20-24 years (no.)
2015,700,ERP_M_6,Males - 20-24 years (no.)
2016,729,ERP_M_6,Males - 20-24 years (no.)
2011,861,ERP_M_7,Males - 25-29 years (no.)
2012,857,ERP_M_7,Males - 25-29 years (no.)
2013,854,ERP_M_7,Males - 25-29 years (no.)
2014,898,ERP_M_7,Males - 25-29 years (no.)
2015,913,ERP_M_7,Males - 25-29 years (no.)
2016,907,ERP_M_7,Males - 25-29 years (no.)
2011,769,ERP_M_8,Males - 30-34 years (no.)
2012,793,ERP_M_8,Males - 30-34 years (no.)
2013,822,ERP_M_8,Males - 30-34 years (no.)
2014,866,ERP_M_8,Males - 30-34 years (no.)
2015,932,ERP_M_8,Males - 30-34 years (no.)
2016,1001,ERP_M_8,Males - 30-34 years (no.)
2011,824,ERP_M_9,Males - 35-39 years (no.)
2012,796,ERP_M_9,Males - 35-39 years (no.)
2013,803,ERP_M_9,Males - 35-39 years (no.)
2014,772,ERP_M_9,Males - 35-39 years (no.)
2015,767,ERP_M_9,Males - 35-39 years (no.)
2016,783,ERP_M_9,Males - 35-39 years (no.)
2011,680,ERP_M_10,Males - 40-44 years (no.)
2012,717,ERP_M_10,Males - 40-44 years (no.)
2013,737,ERP_M_10,Males - 40-44 years (no.)
2014,776,ERP_M_10,Males - 40-44 years (no.)
2015,807,ERP_M_10,Males - 40-44 years (no.)
2016,815,ERP_M_10,Males - 40-44 years (no.)
2011,694,ERP_M_11,Males - 45-49 years (no.)
2012,679,ERP_M_11,Males - 45-49 years (no.)
2013,666,ERP_M_11,Males - 45-49 years (no.)
2014,662,ERP_M_11,Males - 45-49 years (no.)
2015,671,ERP_M_11,Males - 45-49 years (no.)
2016,702,ERP_M_11,Males - 45-49 years (no.)
2011,635,ERP_M_12,Males - 50-54 years (no.)
2012,646,ERP_M_12,Males - 50-54 years (no.)
2013,660,ERP_M_12,Males - 50-54 years (no.)
2014,657,ERP_M_12,Males - 50-54 years (no.)
2015,658,ERP_M_12,Males - 50-54 years (no.)
2016,626,ERP_M_12,Males - 50-54 years (no.)
2011,666,ERP_M_13,Males - 55-59 years (no.)
2012,638,ERP_M_13,Males - 55-59 years (no.)
2013,609,ERP_M_13,Males - 55-59 years (no.)
2014,612,ERP_M_13,Males - 55-59 years (no.)
2015,602,ERP_M_13,Males - 55-59 years (no.)
2016,630,ERP_M_13,Males - 55-59 years (no.)
2011,646,ERP_M_14,Males - 60-64 years (no.)
2012,662,ERP_M_14,Males - 60-64 years (no.)
2013,654,ERP_M_14,Males - 60-64 years (no.)
2014,643,ERP_M_14,Males - 60-64 years (no.)
2015,644,ERP_M_14,Males - 60-64 years (no.)
2016,625,ERP_M_14,Males - 60-64 years (no.)
2011,471,ERP_M_15,Males - 65-69 years (no.)
2012,487,ERP_M_15,Males - 65-69 years (no.)
2013,528,ERP_M_15,Males - 65-69 years (no.)
2014,557,ERP_M_15,Males - 65-69 years (no.)
2015,563,ERP_M_15,Males - 65-69 years (no.)
2016,598,ERP_M_15,Males - 65-69 years (no.)
2011,403,ERP_M_16,Males - 70-74 years (no.)
2012,415,ERP_M_16,Males - 70-74 years (no.)
2013,403,ERP_M_16,Males - 70-74 years (no.)
2014,396,ERP_M_16,Males - 70-74 years (no.)
2015,411,ERP_M_16,Males - 70-74 years (no.)
2016,428,ERP_M_16,Males - 70-74 years (no.)
2011,250,ERP_M_17,Males - 75-79 years (no.)
2012,259,ERP_M_17,Males - 75-79 years (no.)
2013,293,ERP_M_17,Males - 75-79 years (no.)
2014,313,ERP_M_17,Males - 75-79 years (no.)
