Time,Value,MEASURE,Description
2011,19.8,ERP_6,Persons - 0-14 years (%)
2012,20,ERP_6,Persons - 0-14 years (%)
2013,20.2,ERP_6,Persons - 0-14 years (%)
2014,20.3,ERP_6,Persons - 0-14 years (%)
2015,20.3,ERP_6,Persons - 0-14 years (%)
2016,20.5,ERP_6,Persons - 0-14 years (%)
2011,12.5,ERP_7,Persons - 15-24 years (%)
2012,12.2,ERP_7,Persons - 15-24 years (%)
2013,11.8,ERP_7,Persons - 15-24 years (%)
2014,11.7,ERP_7,Persons - 15-24 years (%)
2015,11.7,ERP_7,Persons - 15-24 years (%)
2016,11.6,ERP_7,Persons - 15-24 years (%)
2011,9.8,ERP_8,Persons - 25-34 years (%)
2012,10,ERP_8,Persons - 25-34 years (%)
2013,9.8,ERP_8,Persons - 25-34 years (%)
2014,9.5,ERP_8,Persons - 25-34 years (%)
2015,9.3,ERP_8,Persons - 25-34 years (%)
2016,9,ERP_8,Persons - 25-34 years (%)
2011,14.7,ERP_9,Persons - 35-44 years (%)
2012,14.5,ERP_9,Persons - 35-44 years (%)
2013,13.9,ERP_9,Persons - 35-44 years (%)
2014,13.6,ERP_9,Persons - 35-44 years (%)
2015,13.3,ERP_9,Persons - 35-44 years (%)
2016,12.9,ERP_9,Persons - 35-44 years (%)
2011,15.7,ERP_10,Persons - 45-54 years (%)
2012,15.8,ERP_10,Persons - 45-54 years (%)
2013,16,ERP_10,Persons - 45-54 years (%)
2014,15.8,ERP_10,Persons - 45-54 years (%)
2015,15.9,ERP_10,Persons - 45-54 years (%)
2016,16.1,ERP_10,Persons - 45-54 years (%)
2011,12.2,ERP_11,Persons - 55-64 years (%)
2012,12,ERP_11,Persons - 55-64 years (%)
2013,11.9,ERP_11,Persons - 55-64 years (%)
2014,12.1,ERP_11,Persons - 55-64 years (%)
2015,12.2,ERP_11,Persons - 55-64 years (%)
2016,12.3,ERP_11,Persons - 55-64 years (%)
2011,8.1,ERP_12,Persons - 65-74 years (%)
2012,8.4,ERP_12,Persons - 65-74 years (%)
2013,8.6,ERP_12,Persons - 65-74 years (%)
2014,8.7,ERP_12,Persons - 65-74 years (%)
2015,8.8,ERP_12,Persons - 65-74 years (%)
2016,9,ERP_12,Persons - 65-74 years (%)
2011,5.4,ERP_13,Persons - 75-84 years (%)
2012,5.4,ERP_13,Persons - 75-84 years (%)
2013,5.4,ERP_13,Persons - 75-84 years (%)
2014,5.4,ERP_13,Persons - 75-84 years (%)
2015,5.4,ERP_13,Persons - 75-84 years (%)
2016,5.5,ERP_13,Persons - 75-84 years (%)
2011,3.8,ERP_14,Persons - 85 years and over (%)
2012,3.8,ERP_14,Persons - 85 years and over (%)
2013,3.9,ERP_14,Persons - 85 years and over (%)
2014,4.1,ERP_14,Persons - 85 years and over (%)
2015,4.1,ERP_14,Persons - 85 years and over (%)
2016,4.2,ERP_14,Persons - 85 years and over (%)
2011,465,ERP_M_2,Males - 0-4 years (no.)
2012,456,ERP_M_2,Males - 0-4 years (no.)
2013,464,ERP_M_2,Males - 0-4 years (no.)
2014,453,ERP_M_2,Males - 0-4 years (no.)
2015,465,ERP_M_2,Males - 0-4 years (no.)
2016,511,ERP_M_2,Males - 0-4 years (no.)
2011,579,ERP_M_3,Males - 5-9 years (no.)
2012,600,ERP_M_3,Males - 5-9 years (no.)
2013,608,ERP_M_3,Males - 5-9 years (no.)
2014,629,ERP_M_3,Males - 5-9 years (no.)
2015,638,ERP_M_3,Males - 5-9 years (no.)
2016,647,ERP_M_3,Males - 5-9 years (no.)
2011,553,ERP_M_4,Males - 10-14 years (no.)
2012,561,ERP_M_4,Males - 10-14 years (no.)
2013,579,ERP_M_4,Males - 10-14 years (no.)
2014,607,ERP_M_4,Males - 10-14 years (no.)
2015,629,ERP_M_4,Males - 10-14 years (no.)
2016,642,ERP_M_4,Males - 10-14 years (no.)
2011,528,ERP_M_5,Males - 15-19 years (no.)
2012,516,ERP_M_5,Males - 15-19 years (no.)
2013,492,ERP_M_5,Males - 15-19 years (no.)
2014,499,ERP_M_5,Males - 15-19 years (no.)
2015,515,ERP_M_5,Males - 15-19 years (no.)
2016,549,ERP_M_5,Males - 15-19 years (no.)
2011,539,ERP_M_6,Males - 20-24 years (no.)
2012,525,ERP_M_6,Males - 20-24 years (no.)
2013,518,ERP_M_6,Males - 20-24 years (no.)
2014,495,ERP_M_6,Males - 20-24 years (no.)
2015,467,ERP_M_6,Males - 20-24 years (no.)
2016,438,ERP_M_6,Males - 20-24 years (no.)
2011,320,ERP_M_7,Males - 25-29 years (no.)
2012,340,ERP_M_7,Males - 25-29 years (no.)
2013,356,ERP_M_7,Males - 25-29 years (no.)
2014,350,ERP_M_7,Males - 25-29 years (no.)
2015,348,ERP_M_7,Males - 25-29 years (no.)
2016,323,ERP_M_7,Males - 25-29 years (no.)
2011,297,ERP_M_8,Males - 30-34 years (no.)
2012,316,ERP_M_8,Males - 30-34 years (no.)
2013,330,ERP_M_8,Males - 30-34 years (no.)
2014,344,ERP_M_8,Males - 30-34 years (no.)
2015,335,ERP_M_8,Males - 30-34 years (no.)
2016,322,ERP_M_8,Males - 30-34 years (no.)
2011,445,ERP_M_9,Males - 35-39 years (no.)
2012,443,ERP_M_9,Males - 35-39 years (no.)
2013,451,ERP_M_9,Males - 35-39 years (no.)
2014,431,ERP_M_9,Males - 35-39 years (no.)
2015,445,ERP_M_9,Males - 35-39 years (no.)
2016,438,ERP_M_9,Males - 35-39 years (no.)
2011,632,ERP_M_10,Males - 40-44 years (no.)
2012,616,ERP_M_10,Males - 40-44 years (no.)
2013,603,ERP_M_10,Males - 40-44 years (no.)
2014,602,ERP_M_10,Males - 40-44 years (no.)
2015,595,ERP_M_10,Males - 40-44 years (no.)
2016,592,ERP_M_10,Males - 40-44 years (no.)
2011,622,ERP_M_11,Males - 45-49 years (no.)
2012,624,ERP_M_11,Males - 45-49 years (no.)
2013,641,ERP_M_11,Males - 45-49 years (no.)
2014,632,ERP_M_11,Males - 45-49 years (no.)
2015,639,ERP_M_11,Males - 45-49 years (no.)
2016,651,ERP_M_11,Males - 45-49 years (no.)
2011,595,ERP_M_12,Males - 50-54 years (no.)
2012,620,ERP_M_12,Males - 50-54 years (no.)
2013,639,ERP_M_12,Males - 50-54 years (no.)
2014,632,ERP_M_12,Males - 50-54 years (no.)
2015,631,ERP_M_12,Males - 50-54 years (no.)
2016,611,ERP_M_12,Males - 50-54 years (no.)
2011,495,ERP_M_13,Males - 55-59 years (no.)
2012,502,ERP_M_13,Males - 55-59 years (no.)
2013,499,ERP_M_13,Males - 55-59 years (no.)
2014,518,ERP_M_13,Males - 55-59 years (no.)
2015,535,ERP_M_13,Males - 55-59 years (no.)
2016,568,ERP_M_13,Males - 55-59 years (no.)
2011,453,ERP_M_14,Males - 60-64 years (no.)
2012,433,ERP_M_14,Males - 60-64 years (no.)
2013,429,ERP_M_14,Males - 60-64 years (no.)
2014,453,ERP_M_14,Males - 60-64 years (no.)
2015,449,ERP_M_14,Males - 60-64 years (no.)
2016,442,ERP_M_14,Males - 60-64 years (no.)
2011,372,ERP_M_15,Males - 65-69 years (no.)
2012,400,ERP_M_15,Males - 65-69 years (no.)
2013,406,ERP_M_15,Males - 65-69 years (no.)
2014,402,ERP_M_15,Males - 65-69 years (no.)
2015,402,ERP_M_15,Males - 65-69 years (no.)
2016,408,ERP_M_15,Males - 65-69 years (no.)
2011,263,ERP_M_16,Males - 70-74 years (no.)
2012,266,ERP_M_16,Males - 70-74 years (no.)
2013,273,ERP_M_16,Males - 70-74 years (no.)
2014,289,ERP_M_16,Males - 70-74 years (no.)
2015,301,ERP_M_16,Males - 70-74 years (no.)
2016,315,ERP_M_16,Males - 70-74 years (no.)
2011,183,ERP_M_17,Males - 75-79 years (no.)
2012,202,ERP_M_17,Males - 75-79 years (no.)
2013,216,ERP_M_17,Males - 75-79 years (no.)
2014,213,ERP_M_17,Males - 75-79 years (no.)
2015,224,ERP_M_17,Males - 75-79 years (no.)
2016,228,ERP_M_17,Males - 75-79 years (no.)
2011,169,ERP_M_18,Males - 80-84 years (no.)
2012,171,ERP_M_18,Males - 80-84 years (no.)
2013,169,ERP_M_18,Males - 80-84 years (no.)
2014,177,ERP_M_18,Males - 80-84 years (no.)
2015,173,ERP_M_18,Males - 80-84 years (no.)
2016,175,ERP_M_18,Males - 80-84 years (no.)
2011,189,ERP_M_19,Males - 85 and over (no.)
2012,189,ERP_M_19,Males - 85 and over (no.)
2013,199,ERP_M_19,Males - 85 and over (no.)
2014,210,ERP_M_19,Males - 85 and over (no.)
2015,220,ERP_M_19,Males - 85 and over (no.)
2016,225,ERP_M_19,Males - 85 and over (no.)
2011,7699,ERP_M_20,Males - Total (no.)
2012,7780,ERP_M_20,Males - Total (no.)
2013,7872,ERP_M_20,Males - Total (no.)
2014,7936,ERP_M_20,Males - Total (no.)
2015,8011,ERP_M_20,Males - Total (no.)
2016,8085,ERP_M_20,Males - Total (no.)
2011,470,ERP_F_2,Females - 0-4 years (no.)
2012,470,ERP_F_2,Females - 0-4 years (no.)
2013,463,ERP_F_2,Females - 0-4 years (no.)
2014,448,ERP_F_2,Females - 0-4 years (no.)
2015,433,ERP_F_2,Females - 0-4 years (no.)
2016,393,ERP_F_2,Females - 0-4 years (no.)
2011,594,ERP_F_3,Females - 5-9 years (no.)
2012,605,ERP_F_3,Females - 5-9 years (no.)
2013,623,ERP_F_3,Females - 5-9 years (no.)
2014,644,ERP_F_3,Females - 5-9 years (no.)
2015,625,ERP_F_3,Females - 5-9 years (no.)
2016,635,ERP_F_3,Females - 5-9 years (no.)
2011,529,ERP_F_4,Females - 10-14 years (no.)
2012,552,ERP_F_4,Females - 10-14 years (no.)
2013,572,ERP_F_4,Females - 10-14 years (no.)
2014,555,ERP_F_4,Females - 10-14 years (no.)
2015,579,ERP_F_4,Females - 10-14 years (no.)
2016,602,ERP_F_4,Females - 10-14 years (no.)
2011,535,ERP_F_5,Females - 15-19 years (no.)
2012,501,ERP_F_5,Females - 15-19 years (no.)
2013,506,ERP_F_5,Females - 15-19 years (no.)
2014,511,ERP_F_5,Females - 15-19 years (no.)
2015,526,ERP_F_5,Females - 15-19 years (no.)
2016,524,ERP_F_5,Females - 15-19 years (no.)
2011,407,ERP_F_6,Females - 20-24 years (no.)
2012,432,ERP_F_6,Females - 20-24 years (no.)
2013,420,ERP_F_6,Females - 20-24 years (no.)
2014,429,ERP_F_6,Females - 20-24 years (no.)
2015,425,ERP_F_6,Females - 20-24 years (no.)
2016,429,ERP_F_6,Females - 20-24 years (no.)
2011,312,ERP_F_7,Females - 25-29 years (no.)
2012,317,ERP_F_7,Females - 25-29 years (no.)
2013,308,ERP_F_7,Females - 25-29 years (no.)
2014,297,ERP_F_7,Females - 25-29 years (no.)
2015,305,ERP_F_7,Females - 25-29 years (no.)
2016,312,ERP_F_7,Females - 25-29 years (no.)
2011,307,ERP_F_8,Females - 30-34 years (no.)
2012,307,ERP_F_8,Females - 30-34 years (no.)
2013,350,ERP_F_8,Females - 30-34 years (no.)
2014,372,ERP_F_8,Females - 30-34 years (no.)
2015,373,ERP_F_8,Females - 30-34 years (no.)
2016,357,ERP_F_8,Females - 30-34 years (no.)
2011,551,ERP_F_9,Females - 35-39 years (no.)
2012,526,ERP_F_9,Females - 35-39 years (no.)
2013,501,ERP_F_9,Females - 35-39 years (no.)
2014,476,ERP_F_9,Females - 35-39 years (no.)
2015,471,ERP_F_9,Females - 35-39 years (no.)
2016,456,ERP_F_9,Females - 35-39 years (no.)
2011,743,ERP_F_10,Females - 40-44 years (no.)
2012,760,ERP_F_10,Females - 40-44 years (no.)
2013,721,ERP_F_10,Females - 40-44 years (no.)
2014,726,ERP_F_10,Females - 40-44 years (no.)
2015,700,ERP_F_10,Females - 40-44 years (no.)
2016,673,ERP_F_10,Females - 40-44 years (no.)
2011,669,ERP_F_11,Females - 45-49 years (no.)
2012,680,ERP_F_11,Females - 45-49 years (no.)
2013,714,ERP_F_11,Females - 45-49 years (no.)
2014,720,ERP_F_11,Females - 45-49 years (no.)
2015,722,ERP_F_11,Females - 45-49 years (no.)
2016,769,ERP_F_11,Females - 45-49 years (no.)
2011,646,ERP_F_12,Females - 50-54 years (no.)
2012,636,ERP_F_12,Females - 50-54 years (no.)
2013,632,ERP_F_12,Females - 50-54 years (no.)
2014,621,ERP_F_12,Females - 50-54 years (no.)
2015,644,ERP_F_12,Females - 50-54 years (no.)
2016,662,ERP_F_12,Females - 50-54 years (no.)
2011,539,ERP_F_13,Females - 55-59 years (no.)
2012,539,ERP_F_13,Females - 55-59 years (no.)
2013,536,ERP_F_13,Females - 55-59 years (no.)
2014,551,ERP_F_13,Females - 55-59 years (no.)
2015,569,ERP_F_13,Females - 55-59 years (no.)
2016,573,ERP_F_13,Females - 55-59 years (no.)
2011,481,ERP_F_14,Females - 60-64 years (no.)
2012,476,ERP_F_14,Females - 60-64 years (no.)
2013,477,ERP_F_14,Females - 60-64 years (no.)
2014,476,ERP_F_14,Females - 60-64 years (no.)
2015,476,ERP_F_14,Females - 60-64 years (no.)
2016,474,ERP_F_14,Females - 60-64 years (no.)
2011,381,ERP_F_15,Females - 65-69 years (no.)
2012,409,ERP_F_15,Females - 65-69 years (no.)
2013,439,ERP_F_15,Females - 65-69 years (no.)
2014,436,ERP_F_15,Females - 65-69 years (no.)
2015,434,ERP_F_15,Females - 65-69 years (no.)
2016,422,ERP_F_15,Females - 65-69 years (no.)
2011,289,ERP_F_16,Females - 70-74 years (no.)
2012,290,ERP_F_16,Females - 70-74 years (no.)
2013,293,ERP_F_16,Females - 70-74 years (no.)
2014,314,ERP_F_16,Females - 70-74 years (no.)
2015,327,ERP_F_16,Females - 70-74 years (no.)
2016,353,ERP_F_16,Females - 70-74 years (no.)
2011,222,ERP_F_17,Females - 75-79 years (no.)
2012,239,ERP_F_17,Females - 75-79 years (no.)
2013,246,ERP_F_17,Females - 75-79 years (no.)
2014,259,ERP_F_17,Females - 75-79 years (no.)
2015,279,ERP_F_17,Females - 75-79 years (no.)
2016,284,ERP_F_17,Females - 75-79 years (no.)
2011,289,ERP_F_18,Females - 80-84 years (no.)
2012,269,ERP_F_18,Females - 80-84 years (no.)
2013,257,ERP_F_18,Females - 80-84 years (no.)
2014,244,ERP_F_18,Females - 80-84 years (no.)
2015,227,ERP_F_18,Females - 80-84 years (no.)
2016,227,ERP_F_18,Females - 80-84 years (no.)
2011,424,ERP_F_19,Females - 85 and over (no.)
2012,429,ERP_F_19,Females - 85 and over (no.)
2013,438,ERP_F_19,Females - 85 and over (no.)
2014,458,ERP_F_19,Females - 85 and over (no.)
2015,461,ERP_F_19,Females - 85 and over (no.)
2016,471,ERP_F_19,Females - 85 and over (no.)
2011,8388,ERP_F_20,Females - Total (no.)
2012,8437,ERP_F_20,Females - Total (no.)
