Time,Value,MEASURE,Description
2011,11.5,ERP_6,Persons - 0-14 years (%)
2012,11.6,ERP_6,Persons - 0-14 years (%)
2013,11.6,ERP_6,Persons - 0-14 years (%)
2014,11.4,ERP_6,Persons - 0-14 years (%)
2015,11.2,ERP_6,Persons - 0-14 years (%)
2016,10.9,ERP_6,Persons - 0-14 years (%)
2011,12.9,ERP_7,Persons - 15-24 years (%)
2012,13.1,ERP_7,Persons - 15-24 years (%)
2013,13.3,ERP_7,Persons - 15-24 years (%)
2014,13.4,ERP_7,Persons - 15-24 years (%)
2015,13.6,ERP_7,Persons - 15-24 years (%)
2016,13.7,ERP_7,Persons - 15-24 years (%)
2011,26.4,ERP_8,Persons - 25-34 years (%)
2012,26.6,ERP_8,Persons - 25-34 years (%)
2013,26.7,ERP_8,Persons - 25-34 years (%)
2014,27,ERP_8,Persons - 25-34 years (%)
2015,27.4,ERP_8,Persons - 25-34 years (%)
2016,27.8,ERP_8,Persons - 25-34 years (%)
2011,16.9,ERP_9,Persons - 35-44 years (%)
2012,17,ERP_9,Persons - 35-44 years (%)
2013,17.2,ERP_9,Persons - 35-44 years (%)
2014,17.1,ERP_9,Persons - 35-44 years (%)
2015,17.1,ERP_9,Persons - 35-44 years (%)
2016,17,ERP_9,Persons - 35-44 years (%)
2011,10.4,ERP_10,Persons - 45-54 years (%)
2012,10.1,ERP_10,Persons - 45-54 years (%)
2013,9.9,ERP_10,Persons - 45-54 years (%)
2014,9.9,ERP_10,Persons - 45-54 years (%)
2015,9.9,ERP_10,Persons - 45-54 years (%)
2016,10,ERP_10,Persons - 45-54 years (%)
2011,6.8,ERP_11,Persons - 55-64 years (%)
2012,6.6,ERP_11,Persons - 55-64 years (%)
2013,6.6,ERP_11,Persons - 55-64 years (%)
2014,6.8,ERP_11,Persons - 55-64 years (%)
2015,6.8,ERP_11,Persons - 55-64 years (%)
2016,6.7,ERP_11,Persons - 55-64 years (%)
2011,5.2,ERP_12,Persons - 65-74 years (%)
2012,5.1,ERP_12,Persons - 65-74 years (%)
2013,4.8,ERP_12,Persons - 65-74 years (%)
2014,4.7,ERP_12,Persons - 65-74 years (%)
2015,4.7,ERP_12,Persons - 65-74 years (%)
2016,4.8,ERP_12,Persons - 65-74 years (%)
2011,4.2,ERP_13,Persons - 75-84 years (%)
2012,4,ERP_13,Persons - 75-84 years (%)
2013,3.9,ERP_13,Persons - 75-84 years (%)
2014,3.7,ERP_13,Persons - 75-84 years (%)
2015,3.6,ERP_13,Persons - 75-84 years (%)
2016,3.4,ERP_13,Persons - 75-84 years (%)
2011,1.4,ERP_14,Persons - 85 years and over (%)
2012,1.2,ERP_14,Persons - 85 years and over (%)
2013,1.3,ERP_14,Persons - 85 years and over (%)
2014,1.2,ERP_14,Persons - 85 years and over (%)
2015,1.1,ERP_14,Persons - 85 years and over (%)
2016,1,ERP_14,Persons - 85 years and over (%)
2011,218,ERP_M_2,Males - 0-4 years (no.)
2012,222,ERP_M_2,Males - 0-4 years (no.)
2013,234,ERP_M_2,Males - 0-4 years (no.)
2014,244,ERP_M_2,Males - 0-4 years (no.)
2015,267,ERP_M_2,Males - 0-4 years (no.)
2016,281,ERP_M_2,Males - 0-4 years (no.)
2011,162,ERP_M_3,Males - 5-9 years (no.)
2012,162,ERP_M_3,Males - 5-9 years (no.)
2013,180,ERP_M_3,Males - 5-9 years (no.)
2014,196,ERP_M_3,Males - 5-9 years (no.)
2015,200,ERP_M_3,Males - 5-9 years (no.)
2016,206,ERP_M_3,Males - 5-9 years (no.)
2011,136,ERP_M_4,Males - 10-14 years (no.)
2012,149,ERP_M_4,Males - 10-14 years (no.)
2013,155,ERP_M_4,Males - 10-14 years (no.)
2014,156,ERP_M_4,Males - 10-14 years (no.)
2015,159,ERP_M_4,Males - 10-14 years (no.)
2016,167,ERP_M_4,Males - 10-14 years (no.)
2011,122,ERP_M_5,Males - 15-19 years (no.)
2012,140,ERP_M_5,Males - 15-19 years (no.)
2013,163,ERP_M_5,Males - 15-19 years (no.)
2014,174,ERP_M_5,Males - 15-19 years (no.)
2015,181,ERP_M_5,Males - 15-19 years (no.)
2016,182,ERP_M_5,Males - 15-19 years (no.)
2011,383,ERP_M_6,Males - 20-24 years (no.)
2012,393,ERP_M_6,Males - 20-24 years (no.)
2013,424,ERP_M_6,Males - 20-24 years (no.)
2014,454,ERP_M_6,Males - 20-24 years (no.)
2015,489,ERP_M_6,Males - 20-24 years (no.)
2016,523,ERP_M_6,Males - 20-24 years (no.)
2011,716,ERP_M_7,Males - 25-29 years (no.)
2012,736,ERP_M_7,Males - 25-29 years (no.)
2013,790,ERP_M_7,Males - 25-29 years (no.)
2014,840,ERP_M_7,Males - 25-29 years (no.)
2015,901,ERP_M_7,Males - 25-29 years (no.)
2016,964,ERP_M_7,Males - 25-29 years (no.)
2011,636,ERP_M_8,Males - 30-34 years (no.)
2012,669,ERP_M_8,Males - 30-34 years (no.)
2013,729,ERP_M_8,Males - 30-34 years (no.)
2014,782,ERP_M_8,Males - 30-34 years (no.)
2015,838,ERP_M_8,Males - 30-34 years (no.)
2016,898,ERP_M_8,Males - 30-34 years (no.)
2011,417,ERP_M_9,Males - 35-39 years (no.)
2012,430,ERP_M_9,Males - 35-39 years (no.)
2013,478,ERP_M_9,Males - 35-39 years (no.)
2014,512,ERP_M_9,Males - 35-39 years (no.)
2015,551,ERP_M_9,Males - 35-39 years (no.)
2016,590,ERP_M_9,Males - 35-39 years (no.)
2011,322,ERP_M_10,Males - 40-44 years (no.)
2012,343,ERP_M_10,Males - 40-44 years (no.)
2013,361,ERP_M_10,Males - 40-44 years (no.)
2014,377,ERP_M_10,Males - 40-44 years (no.)
2015,398,ERP_M_10,Males - 40-44 years (no.)
2016,408,ERP_M_10,Males - 40-44 years (no.)
2011,237,ERP_M_11,Males - 45-49 years (no.)
2012,234,ERP_M_11,Males - 45-49 years (no.)
2013,253,ERP_M_11,Males - 45-49 years (no.)
2014,265,ERP_M_11,Males - 45-49 years (no.)
2015,282,ERP_M_11,Males - 45-49 years (no.)
2016,318,ERP_M_11,Males - 45-49 years (no.)
2011,194,ERP_M_12,Males - 50-54 years (no.)
2012,197,ERP_M_12,Males - 50-54 years (no.)
2013,208,ERP_M_12,Males - 50-54 years (no.)
2014,223,ERP_M_12,Males - 50-54 years (no.)
2015,233,ERP_M_12,Males - 50-54 years (no.)
2016,257,ERP_M_12,Males - 50-54 years (no.)
2011,155,ERP_M_13,Males - 55-59 years (no.)
2012,148,ERP_M_13,Males - 55-59 years (no.)
2013,151,ERP_M_13,Males - 55-59 years (no.)
2014,165,ERP_M_13,Males - 55-59 years (no.)
2015,185,ERP_M_13,Males - 55-59 years (no.)
2016,188,ERP_M_13,Males - 55-59 years (no.)
2011,138,ERP_M_14,Males - 60-64 years (no.)
2012,147,ERP_M_14,Males - 60-64 years (no.)
2013,158,ERP_M_14,Males - 60-64 years (no.)
2014,163,ERP_M_14,Males - 60-64 years (no.)
2015,157,ERP_M_14,Males - 60-64 years (no.)
2016,156,ERP_M_14,Males - 60-64 years (no.)
2011,102,ERP_M_15,Males - 65-69 years (no.)
2012,100,ERP_M_15,Males - 65-69 years (no.)
2013,113,ERP_M_15,Males - 65-69 years (no.)
2014,121,ERP_M_15,Males - 65-69 years (no.)
2015,130,ERP_M_15,Males - 65-69 years (no.)
2016,146,ERP_M_15,Males - 65-69 years (no.)
2011,89,ERP_M_16,Males - 70-74 years (no.)
2012,90,ERP_M_16,Males - 70-74 years (no.)
2013,83,ERP_M_16,Males - 70-74 years (no.)
2014,89,ERP_M_16,Males - 70-74 years (no.)
2015,104,ERP_M_16,Males - 70-74 years (no.)
2016,112,ERP_M_16,Males - 70-74 years (no.)
2011,101,ERP_M_17,Males - 75-79 years (no.)
2012,91,ERP_M_17,Males - 75-79 years (no.)
2013,97,ERP_M_17,Males - 75-79 years (no.)
2014,98,ERP_M_17,Males - 75-79 years (no.)
2015,89,ERP_M_17,Males - 75-79 years (no.)
2016,83,ERP_M_17,Males - 75-79 years (no.)
2011,67,ERP_M_18,Males - 80-84 years (no.)
2012,69,ERP_M_18,Males - 80-84 years (no.)
2013,71,ERP_M_18,Males - 80-84 years (no.)
2014,76,ERP_M_18,Males - 80-84 years (no.)
2015,81,ERP_M_18,Males - 80-84 years (no.)
2016,88,ERP_M_18,Males - 80-84 years (no.)
2011,49,ERP_M_19,Males - 85 and over (no.)
2012,45,ERP_M_19,Males - 85 and over (no.)
2013,48,ERP_M_19,Males - 85 and over (no.)
2014,47,ERP_M_19,Males - 85 and over (no.)
2015,49,ERP_M_19,Males - 85 and over (no.)
2016,49,ERP_M_19,Males - 85 and over (no.)
2011,4244,ERP_M_20,Males - Total (no.)
2012,4365,ERP_M_20,Males - Total (no.)
2013,4696,ERP_M_20,Males - Total (no.)
2014,4982,ERP_M_20,Males - Total (no.)
2015,5294,ERP_M_20,Males - Total (no.)
2016,5616,ERP_M_20,Males - Total (no.)
2011,232,ERP_F_2,Females - 0-4 years (no.)
2012,234,ERP_F_2,Females - 0-4 years (no.)
2013,246,ERP_F_2,Females - 0-4 years (no.)
2014,238,ERP_F_2,Females - 0-4 years (no.)
2015,237,ERP_F_2,Females - 0-4 years (no.)
2016,236,ERP_F_2,Females - 0-4 years (no.)
2011,160,ERP_F_3,Females - 5-9 years (no.)
2012,175,ERP_F_3,Females - 5-9 years (no.)
2013,195,ERP_F_3,Females - 5-9 years (no.)
2014,220,ERP_F_3,Females - 5-9 years (no.)
2015,220,ERP_F_3,Females - 5-9 years (no.)
2016,218,ERP_F_3,Females - 5-9 years (no.)
2011,124,ERP_F_4,Females - 10-14 years (no.)
2012,132,ERP_F_4,Females - 10-14 years (no.)
2013,133,ERP_F_4,Females - 10-14 years (no.)
2014,141,ERP_F_4,Females - 10-14 years (no.)
2015,162,ERP_F_4,Females - 10-14 years (no.)
2016,177,ERP_F_4,Females - 10-14 years (no.)
2011,139,ERP_F_5,Females - 15-19 years (no.)
2012,149,ERP_F_5,Females - 15-19 years (no.)
2013,164,ERP_F_5,Females - 15-19 years (no.)
2014,172,ERP_F_5,Females - 15-19 years (no.)
2015,189,ERP_F_5,Females - 15-19 years (no.)
2016,196,ERP_F_5,Females - 15-19 years (no.)
2011,510,ERP_F_6,Females - 20-24 years (no.)
2012,528,ERP_F_6,Females - 20-24 years (no.)
2013,569,ERP_F_6,Females - 20-24 years (no.)
2014,607,ERP_F_6,Females - 20-24 years (no.)
2015,652,ERP_F_6,Females - 20-24 years (no.)
2016,707,ERP_F_6,Females - 20-24 years (no.)
2011,758,ERP_F_7,Females - 25-29 years (no.)
2012,795,ERP_F_7,Females - 25-29 years (no.)
2013,863,ERP_F_7,Females - 25-29 years (no.)
2014,932,ERP_F_7,Females - 25-29 years (no.)
2015,1004,ERP_F_7,Females - 25-29 years (no.)
2016,1076,ERP_F_7,Females - 25-29 years (no.)
2011,648,ERP_F_8,Females - 30-34 years (no.)
2012,678,ERP_F_8,Females - 30-34 years (no.)
2013,730,ERP_F_8,Females - 30-34 years (no.)
2014,776,ERP_F_8,Females - 30-34 years (no.)
2015,823,ERP_F_8,Females - 30-34 years (no.)
2016,871,ERP_F_8,Females - 30-34 years (no.)
2011,438,ERP_F_9,Females - 35-39 years (no.)
2012,441,ERP_F_9,Females - 35-39 years (no.)
2013,485,ERP_F_9,Females - 35-39 years (no.)
2014,520,ERP_F_9,Females - 35-39 years (no.)
2015,565,ERP_F_9,Females - 35-39 years (no.)
2016,614,ERP_F_9,Females - 35-39 years (no.)
2011,338,ERP_F_10,Females - 40-44 years (no.)
2012,358,ERP_F_10,Females - 40-44 years (no.)
2013,373,ERP_F_10,Females - 40-44 years (no.)
2014,379,ERP_F_10,Females - 40-44 years (no.)
2015,383,ERP_F_10,Females - 40-44 years (no.)
2016,391,ERP_F_10,Females - 40-44 years (no.)
2011,267,ERP_F_11,Females - 45-49 years (no.)
2012,266,ERP_F_11,Females - 45-49 years (no.)
2013,279,ERP_F_11,Females - 45-49 years (no.)
2014,285,ERP_F_11,Females - 45-49 years (no.)
2015,298,ERP_F_11,Females - 45-49 years (no.)
2016,322,ERP_F_11,Females - 45-49 years (no.)
2011,233,ERP_F_12,Females - 50-54 years (no.)
2012,231,ERP_F_12,Females - 50-54 years (no.)
2013,244,ERP_F_12,Females - 50-54 years (no.)
2014,266,ERP_F_12,Females - 50-54 years (no.)
2015,284,ERP_F_12,Females - 50-54 years (no.)
2016,281,ERP_F_12,Females - 50-54 years (no.)
2011,160,ERP_F_13,Females - 55-59 years (no.)
2012,171,ERP_F_13,Females - 55-59 years (no.)
2013,192,ERP_F_13,Females - 55-59 years (no.)
2014,211,ERP_F_13,Females - 55-59 years (no.)
2015,228,ERP_F_13,Females - 55-59 years (no.)
2016,259,ERP_F_13,Females - 55-59 years (no.)
2011,157,ERP_F_14,Females - 60-64 years (no.)
2012,143,ERP_F_14,Females - 60-64 years (no.)
2013,155,ERP_F_14,Females - 60-64 years (no.)
2014,169,ERP_F_14,Females - 60-64 years (no.)
2015,186,ERP_F_14,Females - 60-64 years (no.)
2016,189,ERP_F_14,Females - 60-64 years (no.)
2011,130,ERP_F_15,Females - 65-69 years (no.)
2012,141,ERP_F_15,Females - 65-69 years (no.)
2013,151,ERP_F_15,Females - 65-69 years (no.)
2014,156,ERP_F_15,Females - 65-69 years (no.)
2015,163,ERP_F_15,Females - 65-69 years (no.)
2016,178,ERP_F_15,Females - 65-69 years (no.)
2011,143,ERP_F_16,Females - 70-74 years (no.)
2012,137,ERP_F_16,Females - 70-74 years (no.)
2013,125,ERP_F_16,Females - 70-74 years (no.)
2014,126,ERP_F_16,Females - 70-74 years (no.)
2015,122,ERP_F_16,Females - 70-74 years (no.)
2016,127,ERP_F_16,Females - 70-74 years (no.)
2011,131,ERP_F_17,Females - 75-79 years (no.)
2012,125,ERP_F_17,Females - 75-79 years (no.)
2013,139,ERP_F_17,Females - 75-79 years (no.)
2014,134,ERP_F_17,Females - 75-79 years (no.)
2015,134,ERP_F_17,Females - 75-79 years (no.)
2016,131,ERP_F_17,Females - 75-79 years (no.)
2011,81,ERP_F_18,Females - 80-84 years (no.)
2012,81,ERP_F_18,Females - 80-84 years (no.)
2013,76,ERP_F_18,Females - 80-84 years (no.)
2014,79,ERP_F_18,Females - 80-84 years (no.)
2015,92,ERP_F_18,Females - 80-84 years (no.)
2016,103,ERP_F_18,Females - 80-84 years (no.)
2011,73,ERP_F_19,Females - 85 and over (no.)
2012,70,ERP_F_19,Females - 85 and over (no.)
2013,77,ERP_F_19,Females - 85 and over (no.)
2014,82,ERP_F_19,Females - 85 and over (no.)
2015,77,ERP_F_19,Females - 85 and over (no.)
2016,74,ERP_F_19,Females - 85 and over (no.)
2011,4722,ERP_F_20,Females - Total (no.)
2012,4855,ERP_F_20,Females - Total (no.)
2013,5196,ERP_F_20,Females - Total (no.)
2014,5493,ERP_F_20,Females - Total (no.)
2015,5819,ERP_F_20,Females - Total (no.)
2016,6150,ERP_F_20,Females - Total (no.)
2011,450,ERP_P_2,Persons - 0-4 years (no.)
2012,456,ERP_P_2,Persons - 0-4 years (no.)
2013,480,ERP_P_2,Persons - 0-4 years (no.)
2014,482,ERP_P_2,Persons - 0-4 years (no.)
2015,504,ERP_P_2,Persons - 0-4 years (no.)
2016,517,ERP_P_2,Persons - 0-4 years (no.)
2011,322,ERP_P_3,Persons - 5-9 years (no.)
2012,337,ERP_P_3,Persons - 5-9 years (no.)
2013,375,ERP_P_3,Persons - 5-9 years (no.)
2014,416,ERP_P_3,Persons - 5-9 years (no.)
2015,420,ERP_P_3,Persons - 5-9 years (no.)
2016,424,ERP_P_3,Persons - 5-9 years (no.)
2011,260,ERP_P_4,Persons - 10-14 years (no.)
2012,281,ERP_P_4,Persons - 10-14 years (no.)
2013,288,ERP_P_4,Persons - 10-14 years (no.)
2014,297,ERP_P_4,Persons - 10-14 years (no.)
2015,321,ERP_P_4,Persons - 10-14 years (no.)
2016,344,ERP_P_4,Persons - 10-14 years (no.)
2011,261,ERP_P_5,Persons - 15-19 years (no.)
2012,289,ERP_P_5,Persons - 15-19 years (no.)
2013,327,ERP_P_5,Persons - 15-19 years (no.)
2014,346,ERP_P_5,Persons - 15-19 years (no.)
2015,370,ERP_P_5,Persons - 15-19 years (no.)
2016,378,ERP_P_5,Persons - 15-19 years (no.)
2011,893,ERP_P_6,Persons - 20-24 years (no.)
2012,921,ERP_P_6,Persons - 20-24 years (no.)
2013,993,ERP_P_6,Persons - 20-24 years (no.)
2014,1061,ERP_P_6,Persons - 20-24 years (no.)
2015,1141,ERP_P_6,Persons - 20-24 years (no.)
2016,1230,ERP_P_6,Persons - 20-24 years (no.)
2011,1474,ERP_P_7,Persons - 25-29 years (no.)
2012,1531,ERP_P_7,Persons - 25-29 years (no.)
2013,1653,ERP_P_7,Persons - 25-29 years (no.)
2014,1772,ERP_P_7,Persons - 25-29 years (no.)
2015,1905,ERP_P_7,Persons - 25-29 years (no.)
2016,2040,ERP_P_7,Persons - 25-29 years (no.)
2011,1284,ERP_P_8,Persons - 30-34 years (no.)
2012,1347,ERP_P_8,Persons - 30-34 years (no.)
2013,1459,ERP_P_8,Persons - 30-34 years (no.)
2014,1558,ERP_P_8,Persons - 30-34 years (no.)
2015,1661,ERP_P_8,Persons - 30-34 years (no.)
2016,1769,ERP_P_8,Persons - 30-34 years (no.)
2011,855,ERP_P_9,Persons - 35-39 years (no.)
2012,871,ERP_P_9,Persons - 35-39 years (no.)
2013,963,ERP_P_9,Persons - 35-39 years (no.)
2014,1032,ERP_P_9,Persons - 35-39 years (no.)
2015,1116,ERP_P_9,Persons - 35-39 years (no.)
2016,1204,ERP_P_9,Persons - 35-39 years (no.)
2011,660,ERP_P_10,Persons - 40-44 years (no.)
2012,701,ERP_P_10,Persons - 40-44 years (no.)
2013,734,ERP_P_10,Persons - 40-44 years (no.)
2014,756,ERP_P_10,Persons - 40-44 years (no.)
2015,781,ERP_P_10,Persons - 40-44 years (no.)
2016,799,ERP_P_10,Persons - 40-44 years (no.)
2011,504,ERP_P_11,Persons - 45-49 years (no.)
2012,500,ERP_P_11,Persons - 45-49 years (no.)
2013,532,ERP_P_11,Persons - 45-49 years (no.)
2014,550,ERP_P_11,Persons - 45-49 years (no.)
2015,580,ERP_P_11,Persons - 45-49 years (no.)
2016,640,ERP_P_11,Persons - 45-49 years (no.)
2011,427,ERP_P_12,Persons - 50-54 years (no.)
2012,428,ERP_P_12,Persons - 50-54 years (no.)
2013,452,ERP_P_12,Persons - 50-54 years (no.)
2014,489,ERP_P_12,Persons - 50-54 years (no.)
2015,517,ERP_P_12,Persons - 50-54 years (no.)
2016,538,ERP_P_12,Persons - 50-54 years (no.)
2011,315,ERP_P_13,Persons - 55-59 years (no.)
2012,319,ERP_P_13,Persons - 55-59 years (no.)
2013,343,ERP_P_13,Persons - 55-59 years (no.)
2014,376,ERP_P_13,Persons - 55-59 years (no.)
2015,413,ERP_P_13,Persons - 55-59 years (no.)
2016,447,ERP_P_13,Persons - 55-59 years (no.)
2011,295,ERP_P_14,Persons - 60-64 years (no.)
2012,290,ERP_P_14,Persons - 60-64 years (no.)
2013,313,ERP_P_14,Persons - 60-64 years (no.)
2014,332,ERP_P_14,Persons - 60-64 years (no.)
2015,343,ERP_P_14,Persons - 60-64 years (no.)
2016,345,ERP_P_14,Persons - 60-64 years (no.)
2011,232,ERP_P_15,Persons - 65-69 years (no.)
2012,241,ERP_P_15,Persons - 65-69 years (no.)
2013,264,ERP_P_15,Persons - 65-69 years (no.)
2014,277,ERP_P_15,Persons - 65-69 years (no.)
2015,293,ERP_P_15,Persons - 65-69 years (no.)
2016,324,ERP_P_15,Persons - 65-69 years (no.)
2011,232,ERP_P_16,Persons - 70-74 years (no.)
2012,227,ERP_P_16,Persons - 70-74 years (no.)
2013,208,ERP_P_16,Persons - 70-74 years (no.)
2014,215,ERP_P_16,Persons - 70-74 years (no.)
2015,226,ERP_P_16,Persons - 70-74 years (no.)
2016,239,ERP_P_16,Persons - 70-74 years (no.)
2011,232,ERP_P_17,Persons - 75-79 years (no.)
2012,216,ERP_P_17,Persons - 75-79 years (no.)
2013,236,ERP_P_17,Persons - 75-79 years (no.)
2014,232,ERP_P_17,Persons - 75-79 years (no.)
2015,223,ERP_P_17,Persons - 75-79 years (no.)
2016,214,ERP_P_17,Persons - 75-79 years (no.)
2011,148,ERP_P_18,Persons - 80-84 years (no.)
2012,150,ERP_P_18,Persons - 80-84 years (no.)
2013,147,ERP_P_18,Persons - 80-84 years (no.)
2014,155,ERP_P_18,Persons - 80-84 years (no.)
2015,173,ERP_P_18,Persons - 80-84 years (no.)
2016,191,ERP_P_18,Persons - 80-84 years (no.)
2011,122,ERP_P_19,Persons - 85 and over (no.)
2012,115,ERP_P_19,Persons - 85 and over (no.)
2013,125,ERP_P_19,Persons - 85 and over (no.)
2014,129,ERP_P_19,Persons - 85 and over (no.)
2015,126,ERP_P_19,Persons - 85 and over (no.)
2016,123,ERP_P_19,Persons - 85 and over (no.)
2011,8966,ERP_P_20,Persons - Total (no.)
2012,9220,ERP_P_20,Persons - Total (no.)
2013,9892,ERP_P_20,Persons - Total (no.)
2014,10475,ERP_P_20,Persons - Total (no.)
2015,11113,ERP_P_20,Persons - Total (no.)
2016,11766,ERP_P_20,Persons - Total (no.)
2017,12582,ERP_P_20,Persons - Total (no.)
2011,77.7,ERP_18,Working Age Population (aged 15-64 years)
2012,78.1,ERP_18,Working Age Population (aged 15-64 years)
2013,78.5,ERP_18,Working Age Population (aged 15-64 years)
2014,79,ERP_18,Working Age Population (aged 15-64 years)
2015,79.4,ERP_18,Working Age Population (aged 15-64 years)
2016,79.8,ERP_18,Working Age Population (aged 15-64 years)
2016,32.6,ERP_19,Median Age - Males (years)
2016,32.5,ERP_22,Median Age - Females (years)
2016,32.6,ERP_23,Median Age - Persons (years)
2016,5427.1,ERP_21,Population density (ERP at 30 June) (persons/km2)
2011,0.6,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2016,0.7,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2011,2.7,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2016,3.3,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2011,5.6,CENSUS_5,Born in North-West Europe (%)
2016,6,CENSUS_5,Born in North-West Europe (%)
2011,10.3,CENSUS_6,Born in Southern and Eastern Europe (%)
2016,7.5,CENSUS_6,Born in Southern and Eastern Europe (%)
2011,2.2,CENSUS_7,Born in North Africa and the Middle East (%)
2016,2.2,CENSUS_7,Born in North Africa and the Middle East (%)
2011,3.1,CENSUS_8,Born in South-East Asia (%)
2016,3.6,CENSUS_8,Born in South-East Asia (%)
2011,2.3,CENSUS_9,Born in North-East Asia (%)
2016,3.1,CENSUS_9,Born in North-East Asia (%)
2011,3.1,CENSUS_10,Born in Southern and Central Asia (%)
2016,2.6,CENSUS_10,Born in Southern and Central Asia (%)
2011,1.7,CENSUS_11,Born in Americas (%)
2016,2.6,CENSUS_11,Born in Americas (%)
2011,0.8,CENSUS_12,Born in Sub-Saharan Africa (%)
2016,0.9,CENSUS_12,Born in Sub-Saharan Africa (%)
2011,31.8,CENSUS_13,Total born overseas (%)
2016,31.6,CENSUS_13,Total born overseas (%)
2016,2.3,CENSUS_15,Buddhism (%)
2016,30.7,CENSUS_16,Christianity (%)
2016,1.6,CENSUS_17,Hinduism (%)
2016,2,CENSUS_18,Islam (%)
2016,0.3,CENSUS_19,Judaism (%)
2016,0.6,CENSUS_20,Other Religions (%)
2016,52.4,CENSUS_21,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation (%)"
2016,9.9,CENSUS_22,Religious Affiliation - Inadequately described or not stated (%)
2011,23.4,CENSUS_24,Persons born overseas who arrived less than 5 years ago (%)
2016,28.7,CENSUS_24,Persons born overseas who arrived less than 5 years ago (%)
2011,10.9,CENSUS_25,Persons born overseas who arrived 5 to 10 years ago (%)
2016,15.4,CENSUS_25,Persons born overseas who arrived 5 to 10 years ago (%)
2011,61.7,CENSUS_26,Persons born overseas who arrived over 10 years ago (%)
2016,53.3,CENSUS_26,Persons born overseas who arrived over 10 years ago (%)
2011,4,CENSUS_27,Year of Arrival in Australia - Not stated (%)
