Time,Value,MEASURE,Description
2011,12.8,ERP_6,Persons - 0-14 years (%)
2012,13.2,ERP_6,Persons - 0-14 years (%)
2013,13.3,ERP_6,Persons - 0-14 years (%)
2014,13.6,ERP_6,Persons - 0-14 years (%)
2015,13.7,ERP_6,Persons - 0-14 years (%)
2016,13.6,ERP_6,Persons - 0-14 years (%)
2011,14.3,ERP_7,Persons - 15-24 years (%)
2012,14.1,ERP_7,Persons - 15-24 years (%)
2013,13.9,ERP_7,Persons - 15-24 years (%)
2014,13.5,ERP_7,Persons - 15-24 years (%)
2015,13.2,ERP_7,Persons - 15-24 years (%)
2016,13.1,ERP_7,Persons - 15-24 years (%)
2011,24.6,ERP_8,Persons - 25-34 years (%)
2012,23.8,ERP_8,Persons - 25-34 years (%)
2013,23.1,ERP_8,Persons - 25-34 years (%)
2014,23,ERP_8,Persons - 25-34 years (%)
2015,23.2,ERP_8,Persons - 25-34 years (%)
2016,23.5,ERP_8,Persons - 25-34 years (%)
2011,15.5,ERP_9,Persons - 35-44 years (%)
2012,15.8,ERP_9,Persons - 35-44 years (%)
2013,16,ERP_9,Persons - 35-44 years (%)
2014,16,ERP_9,Persons - 35-44 years (%)
2015,15.9,ERP_9,Persons - 35-44 years (%)
2016,15.7,ERP_9,Persons - 35-44 years (%)
2011,11.2,ERP_10,Persons - 45-54 years (%)
2012,11,ERP_10,Persons - 45-54 years (%)
2013,11.2,ERP_10,Persons - 45-54 years (%)
2014,11.2,ERP_10,Persons - 45-54 years (%)
2015,11.3,ERP_10,Persons - 45-54 years (%)
2016,11.3,ERP_10,Persons - 45-54 years (%)
2011,8.6,ERP_11,Persons - 55-64 years (%)
2012,8.8,ERP_11,Persons - 55-64 years (%)
2013,8.6,ERP_11,Persons - 55-64 years (%)
2014,8.9,ERP_11,Persons - 55-64 years (%)
2015,8.9,ERP_11,Persons - 55-64 years (%)
2016,8.8,ERP_11,Persons - 55-64 years (%)
2011,5.7,ERP_12,Persons - 65-74 years (%)
2012,5.8,ERP_12,Persons - 65-74 years (%)
2013,5.9,ERP_12,Persons - 65-74 years (%)
2014,5.8,ERP_12,Persons - 65-74 years (%)
2015,5.7,ERP_12,Persons - 65-74 years (%)
2016,5.8,ERP_12,Persons - 65-74 years (%)
2011,4.5,ERP_13,Persons - 75-84 years (%)
2012,4.3,ERP_13,Persons - 75-84 years (%)
2013,4.3,ERP_13,Persons - 75-84 years (%)
2014,4.2,ERP_13,Persons - 75-84 years (%)
2015,4.2,ERP_13,Persons - 75-84 years (%)
2016,4.1,ERP_13,Persons - 75-84 years (%)
2011,1.8,ERP_14,Persons - 85 years and over (%)
2012,1.9,ERP_14,Persons - 85 years and over (%)
2013,2,ERP_14,Persons - 85 years and over (%)
2014,2,ERP_14,Persons - 85 years and over (%)
2015,2,ERP_14,Persons - 85 years and over (%)
2016,2,ERP_14,Persons - 85 years and over (%)
2011,383,ERP_M_2,Males - 0-4 years (no.)
2012,406,ERP_M_2,Males - 0-4 years (no.)
2013,418,ERP_M_2,Males - 0-4 years (no.)
2014,416,ERP_M_2,Males - 0-4 years (no.)
2015,415,ERP_M_2,Males - 0-4 years (no.)
2016,427,ERP_M_2,Males - 0-4 years (no.)
2011,287,ERP_M_3,Males - 5-9 years (no.)
2012,287,ERP_M_3,Males - 5-9 years (no.)
2013,300,ERP_M_3,Males - 5-9 years (no.)
2014,317,ERP_M_3,Males - 5-9 years (no.)
2015,331,ERP_M_3,Males - 5-9 years (no.)
2016,334,ERP_M_3,Males - 5-9 years (no.)
2011,222,ERP_M_4,Males - 10-14 years (no.)
2012,237,ERP_M_4,Males - 10-14 years (no.)
2013,235,ERP_M_4,Males - 10-14 years (no.)
2014,248,ERP_M_4,Males - 10-14 years (no.)
2015,266,ERP_M_4,Males - 10-14 years (no.)
2016,266,ERP_M_4,Males - 10-14 years (no.)
2011,268,ERP_M_5,Males - 15-19 years (no.)
2012,274,ERP_M_5,Males - 15-19 years (no.)
2013,287,ERP_M_5,Males - 15-19 years (no.)
2014,273,ERP_M_5,Males - 15-19 years (no.)
2015,256,ERP_M_5,Males - 15-19 years (no.)
2016,261,ERP_M_5,Males - 15-19 years (no.)
2011,729,ERP_M_6,Males - 20-24 years (no.)
2012,700,ERP_M_6,Males - 20-24 years (no.)
2013,671,ERP_M_6,Males - 20-24 years (no.)
2014,650,ERP_M_6,Males - 20-24 years (no.)
2015,627,ERP_M_6,Males - 20-24 years (no.)
2016,599,ERP_M_6,Males - 20-24 years (no.)
2011,1005,ERP_M_7,Males - 25-29 years (no.)
2012,950,ERP_M_7,Males - 25-29 years (no.)
2013,919,ERP_M_7,Males - 25-29 years (no.)
2014,923,ERP_M_7,Males - 25-29 years (no.)
2015,956,ERP_M_7,Males - 25-29 years (no.)
2016,1002,ERP_M_7,Males - 25-29 years (no.)
2011,822,ERP_M_8,Males - 30-34 years (no.)
2012,833,ERP_M_8,Males - 30-34 years (no.)
2013,839,ERP_M_8,Males - 30-34 years (no.)
2014,843,ERP_M_8,Males - 30-34 years (no.)
2015,842,ERP_M_8,Males - 30-34 years (no.)
2016,839,ERP_M_8,Males - 30-34 years (no.)
2011,564,ERP_M_9,Males - 35-39 years (no.)
2012,588,ERP_M_9,Males - 35-39 years (no.)
2013,612,ERP_M_9,Males - 35-39 years (no.)
2014,612,ERP_M_9,Males - 35-39 years (no.)
2015,621,ERP_M_9,Males - 35-39 years (no.)
2016,653,ERP_M_9,Males - 35-39 years (no.)
2011,499,ERP_M_10,Males - 40-44 years (no.)
2012,514,ERP_M_10,Males - 40-44 years (no.)
2013,505,ERP_M_10,Males - 40-44 years (no.)
2014,525,ERP_M_10,Males - 40-44 years (no.)
2015,523,ERP_M_10,Males - 40-44 years (no.)
2016,501,ERP_M_10,Males - 40-44 years (no.)
2011,382,ERP_M_11,Males - 45-49 years (no.)
2012,376,ERP_M_11,Males - 45-49 years (no.)
2013,408,ERP_M_11,Males - 45-49 years (no.)
2014,412,ERP_M_11,Males - 45-49 years (no.)
2015,433,ERP_M_11,Males - 45-49 years (no.)
2016,453,ERP_M_11,Males - 45-49 years (no.)
2011,354,ERP_M_12,Males - 50-54 years (no.)
2012,355,ERP_M_12,Males - 50-54 years (no.)
2013,356,ERP_M_12,Males - 50-54 years (no.)
2014,355,ERP_M_12,Males - 50-54 years (no.)
2015,348,ERP_M_12,Males - 50-54 years (no.)
2016,357,ERP_M_12,Males - 50-54 years (no.)
2011,330,ERP_M_13,Males - 55-59 years (no.)
2012,340,ERP_M_13,Males - 55-59 years (no.)
2013,321,ERP_M_13,Males - 55-59 years (no.)
2014,339,ERP_M_13,Males - 55-59 years (no.)
2015,347,ERP_M_13,Males - 55-59 years (no.)
2016,326,ERP_M_13,Males - 55-59 years (no.)
2011,258,ERP_M_14,Males - 60-64 years (no.)
2012,272,ERP_M_14,Males - 60-64 years (no.)
2013,284,ERP_M_14,Males - 60-64 years (no.)
2014,290,ERP_M_14,Males - 60-64 years (no.)
2015,286,ERP_M_14,Males - 60-64 years (no.)
2016,294,ERP_M_14,Males - 60-64 years (no.)
2011,204,ERP_M_15,Males - 65-69 years (no.)
2012,209,ERP_M_15,Males - 65-69 years (no.)
2013,221,ERP_M_15,Males - 65-69 years (no.)
2014,219,ERP_M_15,Males - 65-69 years (no.)
2015,231,ERP_M_15,Males - 65-69 years (no.)
2016,227,ERP_M_15,Males - 65-69 years (no.)
2011,179,ERP_M_16,Males - 70-74 years (no.)
2012,179,ERP_M_16,Males - 70-74 years (no.)
2013,182,ERP_M_16,Males - 70-74 years (no.)
2014,179,ERP_M_16,Males - 70-74 years (no.)
2015,165,ERP_M_16,Males - 70-74 years (no.)
2016,169,ERP_M_16,Males - 70-74 years (no.)
2011,151,ERP_M_17,Males - 75-79 years (no.)
2012,154,ERP_M_17,Males - 75-79 years (no.)
2013,145,ERP_M_17,Males - 75-79 years (no.)
2014,147,ERP_M_17,Males - 75-79 years (no.)
2015,156,ERP_M_17,Males - 75-79 years (no.)
2016,158,ERP_M_17,Males - 75-79 years (no.)
2011,133,ERP_M_18,Males - 80-84 years (no.)
2012,113,ERP_M_18,Males - 80-84 years (no.)
2013,116,ERP_M_18,Males - 80-84 years (no.)
2014,117,ERP_M_18,Males - 80-84 years (no.)
2015,106,ERP_M_18,Males - 80-84 years (no.)
2016,99,ERP_M_18,Males - 80-84 years (no.)
2011,96,ERP_M_19,Males - 85 and over (no.)
2012,114,ERP_M_19,Males - 85 and over (no.)
2013,114,ERP_M_19,Males - 85 and over (no.)
2014,111,ERP_M_19,Males - 85 and over (no.)
2015,120,ERP_M_19,Males - 85 and over (no.)
2016,119,ERP_M_19,Males - 85 and over (no.)
2011,6866,ERP_M_20,Males - Total (no.)
2012,6901,ERP_M_20,Males - Total (no.)
2013,6933,ERP_M_20,Males - Total (no.)
2014,6976,ERP_M_20,Males - Total (no.)
2015,7029,ERP_M_20,Males - Total (no.)
2016,7084,ERP_M_20,Males - Total (no.)
2011,365,ERP_F_2,Females - 0-4 years (no.)
2012,387,ERP_F_2,Females - 0-4 years (no.)
2013,404,ERP_F_2,Females - 0-4 years (no.)
2014,410,ERP_F_2,Females - 0-4 years (no.)
2015,404,ERP_F_2,Females - 0-4 years (no.)
2016,404,ERP_F_2,Females - 0-4 years (no.)
2011,290,ERP_F_3,Females - 5-9 years (no.)
2012,286,ERP_F_3,Females - 5-9 years (no.)
2013,290,ERP_F_3,Females - 5-9 years (no.)
2014,300,ERP_F_3,Females - 5-9 years (no.)
2015,322,ERP_F_3,Females - 5-9 years (no.)
