Time,Value,MEASURE,Description
2011,9.8,ERP_6,Persons - 0-14 years (%)
2012,9.9,ERP_6,Persons - 0-14 years (%)
2013,9.8,ERP_6,Persons - 0-14 years (%)
2014,9.7,ERP_6,Persons - 0-14 years (%)
2015,9.4,ERP_6,Persons - 0-14 years (%)
2016,9.3,ERP_6,Persons - 0-14 years (%)
2011,32.1,ERP_7,Persons - 15-24 years (%)
2012,33.1,ERP_7,Persons - 15-24 years (%)
2013,34,ERP_7,Persons - 15-24 years (%)
2014,35.1,ERP_7,Persons - 15-24 years (%)
2015,36.2,ERP_7,Persons - 15-24 years (%)
2016,37.2,ERP_7,Persons - 15-24 years (%)
2011,40.3,ERP_8,Persons - 25-34 years (%)
2012,40.1,ERP_8,Persons - 25-34 years (%)
2013,39.9,ERP_8,Persons - 25-34 years (%)
2014,40,ERP_8,Persons - 25-34 years (%)
2015,40.2,ERP_8,Persons - 25-34 years (%)
2016,40.5,ERP_8,Persons - 25-34 years (%)
2011,9.7,ERP_9,Persons - 35-44 years (%)
2012,9.6,ERP_9,Persons - 35-44 years (%)
2013,9.4,ERP_9,Persons - 35-44 years (%)
2014,9.3,ERP_9,Persons - 35-44 years (%)
2015,9.4,ERP_9,Persons - 35-44 years (%)
2016,9.3,ERP_9,Persons - 35-44 years (%)
2011,7,ERP_10,Persons - 45-54 years (%)
2012,6.8,ERP_10,Persons - 45-54 years (%)
2013,6.6,ERP_10,Persons - 45-54 years (%)
2014,6.4,ERP_10,Persons - 45-54 years (%)
2015,6.2,ERP_10,Persons - 45-54 years (%)
2016,6,ERP_10,Persons - 45-54 years (%)
2011,5.3,ERP_11,Persons - 55-64 years (%)
2012,5.2,ERP_11,Persons - 55-64 years (%)
2013,5.1,ERP_11,Persons - 55-64 years (%)
2014,5.1,ERP_11,Persons - 55-64 years (%)
2015,5,ERP_11,Persons - 55-64 years (%)
2016,4.9,ERP_11,Persons - 55-64 years (%)
2011,4.8,ERP_12,Persons - 65-74 years (%)
2012,4.5,ERP_12,Persons - 65-74 years (%)
2013,4.3,ERP_12,Persons - 65-74 years (%)
2014,4,ERP_12,Persons - 65-74 years (%)
2015,3.8,ERP_12,Persons - 65-74 years (%)
2016,3.7,ERP_12,Persons - 65-74 years (%)
2011,4.6,ERP_13,Persons - 75-84 years (%)
2012,4.3,ERP_13,Persons - 75-84 years (%)
2013,4.1,ERP_13,Persons - 75-84 years (%)
2014,3.8,ERP_13,Persons - 75-84 years (%)
2015,3.5,ERP_13,Persons - 75-84 years (%)
2016,3.3,ERP_13,Persons - 75-84 years (%)
2011,2.4,ERP_14,Persons - 85 years and over (%)
2012,2.3,ERP_14,Persons - 85 years and over (%)
2013,2.3,ERP_14,Persons - 85 years and over (%)
2014,2.2,ERP_14,Persons - 85 years and over (%)
2015,2.2,ERP_14,Persons - 85 years and over (%)
2016,2.2,ERP_14,Persons - 85 years and over (%)
2011,399,ERP_M_2,Males - 0-4 years (no.)
2012,422,ERP_M_2,Males - 0-4 years (no.)
2013,455,ERP_M_2,Males - 0-4 years (no.)
2014,491,ERP_M_2,Males - 0-4 years (no.)
2015,519,ERP_M_2,Males - 0-4 years (no.)
2016,552,ERP_M_2,Males - 0-4 years (no.)
2011,318,ERP_M_3,Males - 5-9 years (no.)
2012,335,ERP_M_3,Males - 5-9 years (no.)
2013,327,ERP_M_3,Males - 5-9 years (no.)
2014,320,ERP_M_3,Males - 5-9 years (no.)
2015,324,ERP_M_3,Males - 5-9 years (no.)
2016,339,ERP_M_3,Males - 5-9 years (no.)
2011,208,ERP_M_4,Males - 10-14 years (no.)
2012,233,ERP_M_4,Males - 10-14 years (no.)
2013,259,ERP_M_4,Males - 10-14 years (no.)
2014,259,ERP_M_4,Males - 10-14 years (no.)
2015,253,ERP_M_4,Males - 10-14 years (no.)
2016,261,ERP_M_4,Males - 10-14 years (no.)
