Time,Value,MEASURE,Description
2011,16.5,ERP_6,Persons - 0-14 years (%)
2012,16.6,ERP_6,Persons - 0-14 years (%)
2013,16.5,ERP_6,Persons - 0-14 years (%)
2014,16.5,ERP_6,Persons - 0-14 years (%)
2015,16.4,ERP_6,Persons - 0-14 years (%)
2016,16.3,ERP_6,Persons - 0-14 years (%)
2011,13.5,ERP_7,Persons - 15-24 years (%)
2012,13.2,ERP_7,Persons - 15-24 years (%)
2013,12.8,ERP_7,Persons - 15-24 years (%)
2014,12.6,ERP_7,Persons - 15-24 years (%)
2015,12.4,ERP_7,Persons - 15-24 years (%)
2016,12.4,ERP_7,Persons - 15-24 years (%)
2011,18.9,ERP_8,Persons - 25-34 years (%)
2012,18.6,ERP_8,Persons - 25-34 years (%)
2013,18.5,ERP_8,Persons - 25-34 years (%)
2014,18.5,ERP_8,Persons - 25-34 years (%)
2015,18.6,ERP_8,Persons - 25-34 years (%)
2016,18.6,ERP_8,Persons - 25-34 years (%)
2011,16.8,ERP_9,Persons - 35-44 years (%)
2012,16.8,ERP_9,Persons - 35-44 years (%)
2013,16.7,ERP_9,Persons - 35-44 years (%)
2014,16.6,ERP_9,Persons - 35-44 years (%)
2015,16.3,ERP_9,Persons - 35-44 years (%)
2016,16,ERP_9,Persons - 35-44 years (%)
2011,12.2,ERP_10,Persons - 45-54 years (%)
2012,12.2,ERP_10,Persons - 45-54 years (%)
2013,12.2,ERP_10,Persons - 45-54 years (%)
2014,12.2,ERP_10,Persons - 45-54 years (%)
2015,12.3,ERP_10,Persons - 45-54 years (%)
2016,12.6,ERP_10,Persons - 45-54 years (%)
2011,8.7,ERP_11,Persons - 55-64 years (%)
2012,9,ERP_11,Persons - 55-64 years (%)
2013,9.1,ERP_11,Persons - 55-64 years (%)
2014,9.1,ERP_11,Persons - 55-64 years (%)
2015,9.4,ERP_11,Persons - 55-64 years (%)
2016,9.4,ERP_11,Persons - 55-64 years (%)
2011,6.2,ERP_12,Persons - 65-74 years (%)
2012,6.2,ERP_12,Persons - 65-74 years (%)
2013,6.3,ERP_12,Persons - 65-74 years (%)
2014,6.2,ERP_12,Persons - 65-74 years (%)
2015,6.1,ERP_12,Persons - 65-74 years (%)
2016,6.2,ERP_12,Persons - 65-74 years (%)
2011,5.1,ERP_13,Persons - 75-84 years (%)
2012,4.9,ERP_13,Persons - 75-84 years (%)
2013,4.8,ERP_13,Persons - 75-84 years (%)
2014,4.7,ERP_13,Persons - 75-84 years (%)
2015,4.7,ERP_13,Persons - 75-84 years (%)
2016,4.6,ERP_13,Persons - 75-84 years (%)
2011,1.6,ERP_14,Persons - 85 years and over (%)
2012,1.7,ERP_14,Persons - 85 years and over (%)
2013,1.9,ERP_14,Persons - 85 years and over (%)
2014,2,ERP_14,Persons - 85 years and over (%)
2015,2,ERP_14,Persons - 85 years and over (%)
2016,2.1,ERP_14,Persons - 85 years and over (%)
2011,902,ERP_M_2,Males - 0-4 years (no.)
2012,922,ERP_M_2,Males - 0-4 years (no.)
2013,924,ERP_M_2,Males - 0-4 years (no.)
2014,913,ERP_M_2,Males - 0-4 years (no.)
2015,882,ERP_M_2,Males - 0-4 years (no.)
2016,879,ERP_M_2,Males - 0-4 years (no.)
2011,683,ERP_M_3,Males - 5-9 years (no.)
2012,689,ERP_M_3,Males - 5-9 years (no.)
2013,724,ERP_M_3,Males - 5-9 years (no.)
2014,736,ERP_M_3,Males - 5-9 years (no.)
2015,772,ERP_M_3,Males - 5-9 years (no.)
2016,778,ERP_M_3,Males - 5-9 years (no.)
2011,575,ERP_M_4,Males - 10-14 years (no.)
2012,583,ERP_M_4,Males - 10-14 years (no.)
2013,561,ERP_M_4,Males - 10-14 years (no.)
2014,582,ERP_M_4,Males - 10-14 years (no.)
2015,572,ERP_M_4,Males - 10-14 years (no.)
2016,580,ERP_M_4,Males - 10-14 years (no.)
2011,657,ERP_M_5,Males - 15-19 years (no.)
2012,624,ERP_M_5,Males - 15-19 years (no.)
2013,612,ERP_M_5,Males - 15-19 years (no.)
2014,602,ERP_M_5,Males - 15-19 years (no.)
2015,588,ERP_M_5,Males - 15-19 years (no.)
2016,565,ERP_M_5,Males - 15-19 years (no.)
2011,1130,ERP_M_6,Males - 20-24 years (no.)
2012,1137,ERP_M_6,Males - 20-24 years (no.)
2013,1136,ERP_M_6,Males - 20-24 years (no.)
2014,1109,ERP_M_6,Males - 20-24 years (no.)
2015,1105,ERP_M_6,Males - 20-24 years (no.)
2016,1132,ERP_M_6,Males - 20-24 years (no.)
2011,1423,ERP_M_7,Males - 25-29 years (no.)
2012,1404,ERP_M_7,Males - 25-29 years (no.)
2013,1409,ERP_M_7,Males - 25-29 years (no.)
2014,1433,ERP_M_7,Males - 25-29 years (no.)
2015,1473,ERP_M_7,Males - 25-29 years (no.)
2016,1477,ERP_M_7,Males - 25-29 years (no.)
2011,1214,ERP_M_8,Males - 30-34 years (no.)
2012,1269,ERP_M_8,Males - 30-34 years (no.)
2013,1307,ERP_M_8,Males - 30-34 years (no.)
2014,1321,ERP_M_8,Males - 30-34 years (no.)
2015,1342,ERP_M_8,Males - 30-34 years (no.)
2016,1375,ERP_M_8,Males - 30-34 years (no.)
2011,1118,ERP_M_9,Males - 35-39 years (no.)
2012,1110,ERP_M_9,Males - 35-39 years (no.)
2013,1105,ERP_M_9,Males - 35-39 years (no.)
2014,1140,ERP_M_9,Males - 35-39 years (no.)
2015,1140,ERP_M_9,Males - 35-39 years (no.)
2016,1194,ERP_M_9,Males - 35-39 years (no.)
2011,1028,ERP_M_10,Males - 40-44 years (no.)
2012,1045,ERP_M_10,Males - 40-44 years (no.)
2013,1072,ERP_M_10,Males - 40-44 years (no.)
2014,1066,ERP_M_10,Males - 40-44 years (no.)
2015,1084,ERP_M_10,Males - 40-44 years (no.)
2016,1032,ERP_M_10,Males - 40-44 years (no.)
2011,839,ERP_M_11,Males - 45-49 years (no.)
2012,862,ERP_M_11,Males - 45-49 years (no.)
2013,839,ERP_M_11,Males - 45-49 years (no.)
2014,869,ERP_M_11,Males - 45-49 years (no.)
2015,892,ERP_M_11,Males - 45-49 years (no.)
2016,899,ERP_M_11,Males - 45-49 years (no.)
2011,721,ERP_M_12,Males - 50-54 years (no.)
2012,732,ERP_M_12,Males - 50-54 years (no.)
2013,764,ERP_M_12,Males - 50-54 years (no.)
2014,749,ERP_M_12,Males - 50-54 years (no.)
2015,750,ERP_M_12,Males - 50-54 years (no.)
2016,798,ERP_M_12,Males - 50-54 years (no.)
2011,605,ERP_M_13,Males - 55-59 years (no.)
2012,613,ERP_M_13,Males - 55-59 years (no.)
2013,635,ERP_M_13,Males - 55-59 years (no.)
2014,641,ERP_M_13,Males - 55-59 years (no.)
2015,641,ERP_M_13,Males - 55-59 years (no.)
2016,655,ERP_M_13,Males - 55-59 years (no.)
2011,509,ERP_M_14,Males - 60-64 years (no.)
2012,526,ERP_M_14,Males - 60-64 years (no.)
2013,517,ERP_M_14,Males - 60-64 years (no.)
2014,543,ERP_M_14,Males - 60-64 years (no.)
2015,576,ERP_M_14,Males - 60-64 years (no.)
2016,575,ERP_M_14,Males - 60-64 years (no.)
2011,380,ERP_M_15,Males - 65-69 years (no.)
2012,380,ERP_M_15,Males - 65-69 years (no.)
2013,405,ERP_M_15,Males - 65-69 years (no.)
2014,413,ERP_M_15,Males - 65-69 years (no.)
2015,434,ERP_M_15,Males - 65-69 years (no.)
2016,456,ERP_M_15,Males - 65-69 years (no.)
2011,361,ERP_M_16,Males - 70-74 years (no.)
2012,372,ERP_M_16,Males - 70-74 years (no.)
2013,372,ERP_M_16,Males - 70-74 years (no.)
2014,375,ERP_M_16,Males - 70-74 years (no.)
2015,349,ERP_M_16,Males - 70-74 years (no.)
2016,352,ERP_M_16,Males - 70-74 years (no.)
2011,337,ERP_M_17,Males - 75-79 years (no.)
2012,327,ERP_M_17,Males - 75-79 years (no.)
2013,328,ERP_M_17,Males - 75-79 years (no.)
2014,305,ERP_M_17,Males - 75-79 years (no.)
2015,314,ERP_M_17,Males - 75-79 years (no.)
2016,318,ERP_M_17,Males - 75-79 years (no.)
2011,255,ERP_M_18,Males - 80-84 years (no.)
2012,243,ERP_M_18,Males - 80-84 years (no.)
2013,237,ERP_M_18,Males - 80-84 years (no.)
2014,261,ERP_M_18,Males - 80-84 years (no.)
2015,263,ERP_M_18,Males - 80-84 years (no.)
2016,259,ERP_M_18,Males - 80-84 years (no.)
2011,162,ERP_M_19,Males - 85 and over (no.)
2012,185,ERP_M_19,Males - 85 and over (no.)
2013,208,ERP_M_19,Males - 85 and over (no.)
2014,216,ERP_M_19,Males - 85 and over (no.)
2015,224,ERP_M_19,Males - 85 and over (no.)
2016,235,ERP_M_19,Males - 85 and over (no.)
2011,12899,ERP_M_20,Males - Total (no.)
2012,13023,ERP_M_20,Males - Total (no.)
2013,13155,ERP_M_20,Males - Total (no.)
2014,13274,ERP_M_20,Males - Total (no.)
2015,13401,ERP_M_20,Males - Total (no.)
2016,13559,ERP_M_20,Males - Total (no.)
2011,891,ERP_F_2,Females - 0-4 years (no.)
2012,897,ERP_F_2,Females - 0-4 years (no.)
2013,892,ERP_F_2,Females - 0-4 years (no.)
2014,891,ERP_F_2,Females - 0-4 years (no.)
2015,887,ERP_F_2,Females - 0-4 years (no.)
2016,931,ERP_F_2,Females - 0-4 years (no.)
2011,760,ERP_F_3,Females - 5-9 years (no.)
2012,746,ERP_F_3,Females - 5-9 years (no.)
2013,750,ERP_F_3,Females - 5-9 years (no.)
2014,738,ERP_F_3,Females - 5-9 years (no.)
2015,727,ERP_F_3,Females - 5-9 years (no.)
2016,720,ERP_F_3,Females - 5-9 years (no.)
2011,527,ERP_F_4,Females - 10-14 years (no.)
2012,558,ERP_F_4,Females - 10-14 years (no.)
2013,582,ERP_F_4,Females - 10-14 years (no.)
2014,616,ERP_F_4,Females - 10-14 years (no.)
2015,652,ERP_F_4,Females - 10-14 years (no.)
2016,634,ERP_F_4,Females - 10-14 years (no.)
2011,603,ERP_F_5,Females - 15-19 years (no.)
2012,609,ERP_F_5,Females - 15-19 years (no.)
2013,607,ERP_F_5,Females - 15-19 years (no.)
2014,618,ERP_F_5,Females - 15-19 years (no.)
2015,593,ERP_F_5,Females - 15-19 years (no.)
2016,611,ERP_F_5,Females - 15-19 years (no.)
2011,1157,ERP_F_6,Females - 20-24 years (no.)
2012,1131,ERP_F_6,Females - 20-24 years (no.)
2013,1076,ERP_F_6,Females - 20-24 years (no.)
2014,1074,ERP_F_6,Females - 20-24 years (no.)
2015,1115,ERP_F_6,Females - 20-24 years (no.)
2016,1137,ERP_F_6,Females - 20-24 years (no.)
2011,1244,ERP_F_7,Females - 25-29 years (no.)
2012,1273,ERP_F_7,Females - 25-29 years (no.)
2013,1350,ERP_F_7,Females - 25-29 years (no.)
2014,1404,ERP_F_7,Females - 25-29 years (no.)
2015,1401,ERP_F_7,Females - 25-29 years (no.)
2016,1405,ERP_F_7,Females - 25-29 years (no.)
2011,1209,ERP_F_8,Females - 30-34 years (no.)
2012,1210,ERP_F_8,Females - 30-34 years (no.)
2013,1254,ERP_F_8,Females - 30-34 years (no.)
2014,1288,ERP_F_8,Females - 30-34 years (no.)
2015,1360,ERP_F_8,Females - 30-34 years (no.)
2016,1403,ERP_F_8,Females - 30-34 years (no.)
2011,1206,ERP_F_9,Females - 35-39 years (no.)
2012,1173,ERP_F_9,Females - 35-39 years (no.)
2013,1136,ERP_F_9,Females - 35-39 years (no.)
2014,1101,ERP_F_9,Females - 35-39 years (no.)
2015,1105,ERP_F_9,Females - 35-39 years (no.)
2016,1144,ERP_F_9,Females - 35-39 years (no.)
2011,1061,ERP_F_10,Females - 40-44 years (no.)
2012,1133,ERP_F_10,Females - 40-44 years (no.)
2013,1158,ERP_F_10,Females - 40-44 years (no.)
2014,1180,ERP_F_10,Females - 40-44 years (no.)
2015,1140,ERP_F_10,Females - 40-44 years (no.)
2016,1071,ERP_F_10,Females - 40-44 years (no.)
2011,841,ERP_F_11,Females - 45-49 years (no.)
2012,860,ERP_F_11,Females - 45-49 years (no.)
2013,880,ERP_F_11,Females - 45-49 years (no.)
2014,890,ERP_F_11,Females - 45-49 years (no.)
2015,933,ERP_F_11,Females - 45-49 years (no.)
2016,977,ERP_F_11,Females - 45-49 years (no.)
2011,809,ERP_F_12,Females - 50-54 years (no.)
2012,783,ERP_F_12,Females - 50-54 years (no.)
2013,778,ERP_F_12,Females - 50-54 years (no.)
2014,802,ERP_F_12,Females - 50-54 years (no.)
2015,796,ERP_F_12,Females - 50-54 years (no.)
2016,812,ERP_F_12,Females - 50-54 years (no.)
2011,643,ERP_F_13,Females - 55-59 years (no.)
2012,698,ERP_F_13,Females - 55-59 years (no.)
2013,732,ERP_F_13,Females - 55-59 years (no.)
2014,729,ERP_F_13,Females - 55-59 years (no.)
