Time,Value,MEASURE,Description
2011,11.3,ERP_6,Persons - 0-14 years (%)
2012,11.2,ERP_6,Persons - 0-14 years (%)
2013,11.4,ERP_6,Persons - 0-14 years (%)
2014,11.4,ERP_6,Persons - 0-14 years (%)
2015,11.3,ERP_6,Persons - 0-14 years (%)
2016,11.3,ERP_6,Persons - 0-14 years (%)
2011,12.2,ERP_7,Persons - 15-24 years (%)
2012,12.2,ERP_7,Persons - 15-24 years (%)
2013,11.9,ERP_7,Persons - 15-24 years (%)
2014,11.8,ERP_7,Persons - 15-24 years (%)
2015,11.6,ERP_7,Persons - 15-24 years (%)
2016,11.6,ERP_7,Persons - 15-24 years (%)
2011,26.2,ERP_8,Persons - 25-34 years (%)
2012,25.6,ERP_8,Persons - 25-34 years (%)
2013,25.2,ERP_8,Persons - 25-34 years (%)
2014,25.1,ERP_8,Persons - 25-34 years (%)
2015,25,ERP_8,Persons - 25-34 years (%)
2016,25,ERP_8,Persons - 25-34 years (%)
2011,17.5,ERP_9,Persons - 35-44 years (%)
2012,17.5,ERP_9,Persons - 35-44 years (%)
2013,17.4,ERP_9,Persons - 35-44 years (%)
2014,17.2,ERP_9,Persons - 35-44 years (%)
2015,16.8,ERP_9,Persons - 35-44 years (%)
2016,16.1,ERP_9,Persons - 35-44 years (%)
2011,10.8,ERP_10,Persons - 45-54 years (%)
2012,10.8,ERP_10,Persons - 45-54 years (%)
2013,11.1,ERP_10,Persons - 45-54 years (%)
2014,11.3,ERP_10,Persons - 45-54 years (%)
2015,11.6,ERP_10,Persons - 45-54 years (%)
2016,11.7,ERP_10,Persons - 45-54 years (%)
2011,8.2,ERP_11,Persons - 55-64 years (%)
2012,8.2,ERP_11,Persons - 55-64 years (%)
2013,8.3,ERP_11,Persons - 55-64 years (%)
2014,8.4,ERP_11,Persons - 55-64 years (%)
2015,8.6,ERP_11,Persons - 55-64 years (%)
2016,9.1,ERP_11,Persons - 55-64 years (%)
2011,4.8,ERP_12,Persons - 65-74 years (%)
2012,5.3,ERP_12,Persons - 65-74 years (%)
2013,5.5,ERP_12,Persons - 65-74 years (%)
2014,5.6,ERP_12,Persons - 65-74 years (%)
2015,5.8,ERP_12,Persons - 65-74 years (%)
2016,5.8,ERP_12,Persons - 65-74 years (%)
2011,3.1,ERP_13,Persons - 75-84 years (%)
2012,3.1,ERP_13,Persons - 75-84 years (%)
2013,3,ERP_13,Persons - 75-84 years (%)
2014,3.1,ERP_13,Persons - 75-84 years (%)
2015,3,ERP_13,Persons - 75-84 years (%)
2016,3.1,ERP_13,Persons - 75-84 years (%)
2011,0.9,ERP_14,Persons - 85 years and over (%)
2012,0.9,ERP_14,Persons - 85 years and over (%)
2013,1,ERP_14,Persons - 85 years and over (%)
2014,1.1,ERP_14,Persons - 85 years and over (%)
2015,1.2,ERP_14,Persons - 85 years and over (%)
2016,1.3,ERP_14,Persons - 85 years and over (%)
2011,264,ERP_M_2,Males - 0-4 years (no.)
2012,282,ERP_M_2,Males - 0-4 years (no.)
2013,302,ERP_M_2,Males - 0-4 years (no.)
2014,306,ERP_M_2,Males - 0-4 years (no.)
2015,311,ERP_M_2,Males - 0-4 years (no.)
2016,308,ERP_M_2,Males - 0-4 years (no.)
2011,191,ERP_M_3,Males - 5-9 years (no.)
2012,187,ERP_M_3,Males - 5-9 years (no.)
2013,186,ERP_M_3,Males - 5-9 years (no.)
2014,191,ERP_M_3,Males - 5-9 years (no.)
2015,208,ERP_M_3,Males - 5-9 years (no.)
2016,230,ERP_M_3,Males - 5-9 years (no.)
2011,119,ERP_M_4,Males - 10-14 years (no.)
2012,128,ERP_M_4,Males - 10-14 years (no.)
2013,134,ERP_M_4,Males - 10-14 years (no.)
2014,145,ERP_M_4,Males - 10-14 years (no.)
2015,135,ERP_M_4,Males - 10-14 years (no.)
2016,133,ERP_M_4,Males - 10-14 years (no.)
2011,127,ERP_M_5,Males - 15-19 years (no.)
2012,150,ERP_M_5,Males - 15-19 years (no.)
2013,158,ERP_M_5,Males - 15-19 years (no.)
2014,160,ERP_M_5,Males - 15-19 years (no.)
2015,160,ERP_M_5,Males - 15-19 years (no.)
2016,167,ERP_M_5,Males - 15-19 years (no.)
2011,414,ERP_M_6,Males - 20-24 years (no.)
2012,413,ERP_M_6,Males - 20-24 years (no.)
2013,410,ERP_M_6,Males - 20-24 years (no.)
2014,415,ERP_M_6,Males - 20-24 years (no.)
2015,420,ERP_M_6,Males - 20-24 years (no.)
2016,426,ERP_M_6,Males - 20-24 years (no.)
2011,814,ERP_M_7,Males - 25-29 years (no.)
2012,826,ERP_M_7,Males - 25-29 years (no.)
2013,834,ERP_M_7,Males - 25-29 years (no.)
2014,847,ERP_M_7,Males - 25-29 years (no.)
2015,869,ERP_M_7,Males - 25-29 years (no.)
2016,891,ERP_M_7,Males - 25-29 years (no.)
2011,746,ERP_M_8,Males - 30-34 years (no.)
