Time,Value,MEASURE,Description
2011,20.7,ERP_6,Persons - 0-14 years (%)
2012,20.3,ERP_6,Persons - 0-14 years (%)
2013,20,ERP_6,Persons - 0-14 years (%)
2014,19.7,ERP_6,Persons - 0-14 years (%)
2015,19.6,ERP_6,Persons - 0-14 years (%)
2016,19.7,ERP_6,Persons - 0-14 years (%)
2011,15.3,ERP_7,Persons - 15-24 years (%)
2012,15.2,ERP_7,Persons - 15-24 years (%)
2013,15.1,ERP_7,Persons - 15-24 years (%)
2014,15.1,ERP_7,Persons - 15-24 years (%)
2015,14.7,ERP_7,Persons - 15-24 years (%)
2016,14.4,ERP_7,Persons - 15-24 years (%)
2011,13.4,ERP_8,Persons - 25-34 years (%)
2012,13.6,ERP_8,Persons - 25-34 years (%)
2013,13.7,ERP_8,Persons - 25-34 years (%)
2014,14.1,ERP_8,Persons - 25-34 years (%)
2015,14.3,ERP_8,Persons - 25-34 years (%)
2016,14.1,ERP_8,Persons - 25-34 years (%)
2011,15.2,ERP_9,Persons - 35-44 years (%)
2012,14.7,ERP_9,Persons - 35-44 years (%)
2013,14.4,ERP_9,Persons - 35-44 years (%)
2014,14.1,ERP_9,Persons - 35-44 years (%)
2015,13.9,ERP_9,Persons - 35-44 years (%)
2016,13.3,ERP_9,Persons - 35-44 years (%)
2011,15.4,ERP_10,Persons - 45-54 years (%)
2012,15.6,ERP_10,Persons - 45-54 years (%)
2013,15.6,ERP_10,Persons - 45-54 years (%)
2014,15.5,ERP_10,Persons - 45-54 years (%)
2015,15.4,ERP_10,Persons - 45-54 years (%)
2016,15.3,ERP_10,Persons - 45-54 years (%)
2011,11,ERP_11,Persons - 55-64 years (%)
2012,10.9,ERP_11,Persons - 55-64 years (%)
2013,11.1,ERP_11,Persons - 55-64 years (%)
2014,11.3,ERP_11,Persons - 55-64 years (%)
2015,11.5,ERP_11,Persons - 55-64 years (%)
2016,11.8,ERP_11,Persons - 55-64 years (%)
2011,6.1,ERP_12,Persons - 65-74 years (%)
2012,6.6,ERP_12,Persons - 65-74 years (%)
2013,6.9,ERP_12,Persons - 65-74 years (%)
2014,7.2,ERP_12,Persons - 65-74 years (%)
2015,7.4,ERP_12,Persons - 65-74 years (%)
2016,7.7,ERP_12,Persons - 65-74 years (%)
2011,2.9,ERP_13,Persons - 75-84 years (%)
2012,2.9,ERP_13,Persons - 75-84 years (%)
2013,3,ERP_13,Persons - 75-84 years (%)
2014,3.2,ERP_13,Persons - 75-84 years (%)
2015,3.3,ERP_13,Persons - 75-84 years (%)
2016,3.4,ERP_13,Persons - 75-84 years (%)
2011,0.6,ERP_14,Persons - 85 years and over (%)
2012,0.7,ERP_14,Persons - 85 years and over (%)
2013,0.7,ERP_14,Persons - 85 years and over (%)
2014,0.8,ERP_14,Persons - 85 years and over (%)
2015,0.8,ERP_14,Persons - 85 years and over (%)
2016,0.9,ERP_14,Persons - 85 years and over (%)
2011,767,ERP_M_2,Males - 0-4 years (no.)
2012,763,ERP_M_2,Males - 0-4 years (no.)
2013,769,ERP_M_2,Males - 0-4 years (no.)
2014,788,ERP_M_2,Males - 0-4 years (no.)
2015,810,ERP_M_2,Males - 0-4 years (no.)
2016,906,ERP_M_2,Males - 0-4 years (no.)
2011,765,ERP_M_3,Males - 5-9 years (no.)
2012,765,ERP_M_3,Males - 5-9 years (no.)
2013,782,ERP_M_3,Males - 5-9 years (no.)
2014,808,ERP_M_3,Males - 5-9 years (no.)
2015,842,ERP_M_3,Males - 5-9 years (no.)
2016,838,ERP_M_3,Males - 5-9 years (no.)
2011,877,ERP_M_4,Males - 10-14 years (no.)
2012,859,ERP_M_4,Males - 10-14 years (no.)
2013,819,ERP_M_4,Males - 10-14 years (no.)
2014,784,ERP_M_4,Males - 10-14 years (no.)
2015,786,ERP_M_4,Males - 10-14 years (no.)
2016,784,ERP_M_4,Males - 10-14 years (no.)
2011,915,ERP_M_5,Males - 15-19 years (no.)
2012,900,ERP_M_5,Males - 15-19 years (no.)
2013,913,ERP_M_5,Males - 15-19 years (no.)
2014,921,ERP_M_5,Males - 15-19 years (no.)
2015,893,ERP_M_5,Males - 15-19 years (no.)
2016,870,ERP_M_5,Males - 15-19 years (no.)
2011,839,ERP_M_6,Males - 20-24 years (no.)
2012,852,ERP_M_6,Males - 20-24 years (no.)
2013,866,ERP_M_6,Males - 20-24 years (no.)
2014,917,ERP_M_6,Males - 20-24 years (no.)
2015,909,ERP_M_6,Males - 20-24 years (no.)
2016,892,ERP_M_6,Males - 20-24 years (no.)
2011,700,ERP_M_7,Males - 25-29 years (no.)
2012,742,ERP_M_7,Males - 25-29 years (no.)
2013,763,ERP_M_7,Males - 25-29 years (no.)
2014,783,ERP_M_7,Males - 25-29 years (no.)
2015,826,ERP_M_7,Males - 25-29 years (no.)
2016,841,ERP_M_7,Males - 25-29 years (no.)
2011,742,ERP_M_8,Males - 30-34 years (no.)
2012,748,ERP_M_8,Males - 30-34 years (no.)
2013,757,ERP_M_8,Males - 30-34 years (no.)
2014,759,ERP_M_8,Males - 30-34 years (no.)
2015,764,ERP_M_8,Males - 30-34 years (no.)
2016,821,ERP_M_8,Males - 30-34 years (no.)
2011,791,ERP_M_9,Males - 35-39 years (no.)
2012,760,ERP_M_9,Males - 35-39 years (no.)
2013,763,ERP_M_9,Males - 35-39 years (no.)
2014,764,ERP_M_9,Males - 35-39 years (no.)
2015,802,ERP_M_9,Males - 35-39 years (no.)
2016,772,ERP_M_9,Males - 35-39 years (no.)
2011,921,ERP_M_10,Males - 40-44 years (no.)
2012,921,ERP_M_10,Males - 40-44 years (no.)
2013,900,ERP_M_10,Males - 40-44 years (no.)
2014,889,ERP_M_10,Males - 40-44 years (no.)
2015,856,ERP_M_10,Males - 40-44 years (no.)
2016,843,ERP_M_10,Males - 40-44 years (no.)
2011,893,ERP_M_11,Males - 45-49 years (no.)
2012,899,ERP_M_11,Males - 45-49 years (no.)
2013,902,ERP_M_11,Males - 45-49 years (no.)
2014,910,ERP_M_11,Males - 45-49 years (no.)
2015,890,ERP_M_11,Males - 45-49 years (no.)
2016,912,ERP_M_11,Males - 45-49 years (no.)
2011,822,ERP_M_12,Males - 50-54 years (no.)
2012,861,ERP_M_12,Males - 50-54 years (no.)
2013,888,ERP_M_12,Males - 50-54 years (no.)
