Time,Value,MEASURE,Description
2011,22.1,ERP_6,Persons - 0-14 years (%)
2012,21.5,ERP_6,Persons - 0-14 years (%)
2013,20.7,ERP_6,Persons - 0-14 years (%)
2014,20.3,ERP_6,Persons - 0-14 years (%)
2015,19.8,ERP_6,Persons - 0-14 years (%)
2016,19.8,ERP_6,Persons - 0-14 years (%)
2011,17.7,ERP_7,Persons - 15-24 years (%)
2012,18,ERP_7,Persons - 15-24 years (%)
2013,18.4,ERP_7,Persons - 15-24 years (%)
2014,18.3,ERP_7,Persons - 15-24 years (%)
2015,18.5,ERP_7,Persons - 15-24 years (%)
2016,18.3,ERP_7,Persons - 15-24 years (%)
2011,11.6,ERP_8,Persons - 25-34 years (%)
2012,12.1,ERP_8,Persons - 25-34 years (%)
2013,12.6,ERP_8,Persons - 25-34 years (%)
2014,13.1,ERP_8,Persons - 25-34 years (%)
2015,13.2,ERP_8,Persons - 25-34 years (%)
2016,13.7,ERP_8,Persons - 25-34 years (%)
2011,16.7,ERP_9,Persons - 35-44 years (%)
2012,15.5,ERP_9,Persons - 35-44 years (%)
2013,14.7,ERP_9,Persons - 35-44 years (%)
2014,13.8,ERP_9,Persons - 35-44 years (%)
2015,13.3,ERP_9,Persons - 35-44 years (%)
2016,13,ERP_9,Persons - 35-44 years (%)
2011,19.2,ERP_10,Persons - 45-54 years (%)
2012,19.7,ERP_10,Persons - 45-54 years (%)
2013,19.8,ERP_10,Persons - 45-54 years (%)
2014,19.9,ERP_10,Persons - 45-54 years (%)
2015,19.9,ERP_10,Persons - 45-54 years (%)
2016,19.6,ERP_10,Persons - 45-54 years (%)
2011,9.7,ERP_11,Persons - 55-64 years (%)
2012,10.3,ERP_11,Persons - 55-64 years (%)
2013,11.2,ERP_11,Persons - 55-64 years (%)
2014,12,ERP_11,Persons - 55-64 years (%)
2015,12.5,ERP_11,Persons - 55-64 years (%)
2016,13.1,ERP_11,Persons - 55-64 years (%)
2011,4.1,ERP_12,Persons - 65-74 years (%)
2012,4.1,ERP_12,Persons - 65-74 years (%)
2013,4.3,ERP_12,Persons - 65-74 years (%)
2014,4.5,ERP_12,Persons - 65-74 years (%)
2015,4.7,ERP_12,Persons - 65-74 years (%)
2016,5,ERP_12,Persons - 65-74 years (%)
2011,1.3,ERP_13,Persons - 75-84 years (%)
2012,1.5,ERP_13,Persons - 75-84 years (%)
2013,1.5,ERP_13,Persons - 75-84 years (%)
2014,1.6,ERP_13,Persons - 75-84 years (%)
2015,1.8,ERP_13,Persons - 75-84 years (%)
2016,1.9,ERP_13,Persons - 75-84 years (%)
2011,0.5,ERP_14,Persons - 85 years and over (%)
2012,0.5,ERP_14,Persons - 85 years and over (%)
2013,0.5,ERP_14,Persons - 85 years and over (%)
2014,0.5,ERP_14,Persons - 85 years and over (%)
2015,0.5,ERP_14,Persons - 85 years and over (%)
2016,0.5,ERP_14,Persons - 85 years and over (%)
2011,185,ERP_M_2,Males - 0-4 years (no.)
2012,200,ERP_M_2,Males - 0-4 years (no.)
2013,208,ERP_M_2,Males - 0-4 years (no.)
2014,198,ERP_M_2,Males - 0-4 years (no.)
2015,183,ERP_M_2,Males - 0-4 years (no.)
2016,171,ERP_M_2,Males - 0-4 years (no.)
2011,250,ERP_M_3,Males - 5-9 years (no.)
2012,235,ERP_M_3,Males - 5-9 years (no.)
2013,227,ERP_M_3,Males - 5-9 years (no.)
2014,235,ERP_M_3,Males - 5-9 years (no.)
2015,243,ERP_M_3,Males - 5-9 years (no.)
2016,252,ERP_M_3,Males - 5-9 years (no.)
2011,320,ERP_M_4,Males - 10-14 years (no.)
2012,312,ERP_M_4,Males - 10-14 years (no.)
2013,296,ERP_M_4,Males - 10-14 years (no.)
2014,291,ERP_M_4,Males - 10-14 years (no.)
2015,279,ERP_M_4,Males - 10-14 years (no.)
2016,283,ERP_M_4,Males - 10-14 years (no.)
2011,338,ERP_M_5,Males - 15-19 years (no.)
2012,339,ERP_M_5,Males - 15-19 years (no.)
2013,344,ERP_M_5,Males - 15-19 years (no.)
2014,341,ERP_M_5,Males - 15-19 years (no.)
2015,355,ERP_M_5,Males - 15-19 years (no.)
2016,345,ERP_M_5,Males - 15-19 years (no.)
2011,253,ERP_M_6,Males - 20-24 years (no.)
2012,270,ERP_M_6,Males - 20-24 years (no.)
2013,286,ERP_M_6,Males - 20-24 years (no.)
2014,302,ERP_M_6,Males - 20-24 years (no.)
2015,301,ERP_M_6,Males - 20-24 years (no.)
2016,301,ERP_M_6,Males - 20-24 years (no.)
2011,138,ERP_M_7,Males - 25-29 years (no.)
2012,146,ERP_M_7,Males - 25-29 years (no.)
2013,151,ERP_M_7,Males - 25-29 years (no.)
2014,157,ERP_M_7,Males - 25-29 years (no.)
2015,161,ERP_M_7,Males - 25-29 years (no.)
2016,171,ERP_M_7,Males - 25-29 years (no.)
2011,154,ERP_M_8,Males - 30-34 years (no.)
2012,154,ERP_M_8,Males - 30-34 years (no.)
2013,156,ERP_M_8,Males - 30-34 years (no.)
2014,146,ERP_M_8,Males - 30-34 years (no.)
2015,142,ERP_M_8,Males - 30-34 years (no.)
2016,132,ERP_M_8,Males - 30-34 years (no.)
2011,216,ERP_M_9,Males - 35-39 years (no.)
2012,199,ERP_M_9,Males - 35-39 years (no.)
2013,182,ERP_M_9,Males - 35-39 years (no.)
2014,177,ERP_M_9,Males - 35-39 years (no.)
2015,171,ERP_M_9,Males - 35-39 years (no.)
2016,172,ERP_M_9,Males - 35-39 years (no.)
2011,335,ERP_M_10,Males - 40-44 years (no.)
2012,299,ERP_M_10,Males - 40-44 years (no.)
2013,283,ERP_M_10,Males - 40-44 years (no.)
2014,250,ERP_M_10,Males - 40-44 years (no.)
2015,250,ERP_M_10,Males - 40-44 years (no.)
2016,238,ERP_M_10,Males - 40-44 years (no.)
2011,339,ERP_M_11,Males - 45-49 years (no.)
2012,349,ERP_M_11,Males - 45-49 years (no.)
2013,331,ERP_M_11,Males - 45-49 years (no.)
2014,336,ERP_M_11,Males - 45-49 years (no.)
2015,329,ERP_M_11,Males - 45-49 years (no.)
2016,297,ERP_M_11,Males - 45-49 years (no.)
2011,293,ERP_M_12,Males - 50-54 years (no.)
2012,314,ERP_M_12,Males - 50-54 years (no.)
2013,322,ERP_M_12,Males - 50-54 years (no.)
2014,337,ERP_M_12,Males - 50-54 years (no.)
2015,334,ERP_M_12,Males - 50-54 years (no.)
2016,351,ERP_M_12,Males - 50-54 years (no.)
2011,238,ERP_M_13,Males - 55-59 years (no.)
2012,234,ERP_M_13,Males - 55-59 years (no.)
2013,259,ERP_M_13,Males - 55-59 years (no.)
2014,274,ERP_M_13,Males - 55-59 years (no.)
2015,278,ERP_M_13,Males - 55-59 years (no.)
2016,294,ERP_M_13,Males - 55-59 years (no.)
2011,131,ERP_M_14,Males - 60-64 years (no.)
2012,150,ERP_M_14,Males - 60-64 years (no.)
2013,164,ERP_M_14,Males - 60-64 years (no.)
2014,169,ERP_M_14,Males - 60-64 years (no.)
2015,186,ERP_M_14,Males - 60-64 years (no.)
2016,196,ERP_M_14,Males - 60-64 years (no.)
2011,73,ERP_M_15,Males - 65-69 years (no.)
2012,76,ERP_M_15,Males - 65-69 years (no.)
2013,85,ERP_M_15,Males - 65-69 years (no.)
2014,95,ERP_M_15,Males - 65-69 years (no.)
2015,102,ERP_M_15,Males - 65-69 years (no.)
2016,107,ERP_M_15,Males - 65-69 years (no.)
2011,64,ERP_M_16,Males - 70-74 years (no.)
2012,66,ERP_M_16,Males - 70-74 years (no.)
2013,69,ERP_M_16,Males - 70-74 years (no.)
2014,67,ERP_M_16,Males - 70-74 years (no.)
2015,60,ERP_M_16,Males - 70-74 years (no.)
