Time,Value,MEASURE,Description
2011,20.2,ERP_6,Persons - 0-14 years (%)
2012,20.8,ERP_6,Persons - 0-14 years (%)
2013,21.3,ERP_6,Persons - 0-14 years (%)
2014,21.3,ERP_6,Persons - 0-14 years (%)
2015,21.4,ERP_6,Persons - 0-14 years (%)
2016,21.5,ERP_6,Persons - 0-14 years (%)
2011,10.6,ERP_7,Persons - 15-24 years (%)
2012,10.2,ERP_7,Persons - 15-24 years (%)
2013,9.9,ERP_7,Persons - 15-24 years (%)
2014,9.6,ERP_7,Persons - 15-24 years (%)
2015,9.3,ERP_7,Persons - 15-24 years (%)
2016,9.4,ERP_7,Persons - 15-24 years (%)
2011,7.4,ERP_8,Persons - 25-34 years (%)
2012,7.6,ERP_8,Persons - 25-34 years (%)
2013,7.7,ERP_8,Persons - 25-34 years (%)
2014,7.9,ERP_8,Persons - 25-34 years (%)
2015,7.8,ERP_8,Persons - 25-34 years (%)
2016,7.3,ERP_8,Persons - 25-34 years (%)
2011,14.5,ERP_9,Persons - 35-44 years (%)
2012,14.6,ERP_9,Persons - 35-44 years (%)
2013,14.4,ERP_9,Persons - 35-44 years (%)
2014,14,ERP_9,Persons - 35-44 years (%)
2015,13.6,ERP_9,Persons - 35-44 years (%)
2016,13.5,ERP_9,Persons - 35-44 years (%)
2011,16,ERP_10,Persons - 45-54 years (%)
2012,15.5,ERP_10,Persons - 45-54 years (%)
2013,15.3,ERP_10,Persons - 45-54 years (%)
2014,15.4,ERP_10,Persons - 45-54 years (%)
2015,15.4,ERP_10,Persons - 45-54 years (%)
2016,15.3,ERP_10,Persons - 45-54 years (%)
2011,17.2,ERP_11,Persons - 55-64 years (%)
2012,16.6,ERP_11,Persons - 55-64 years (%)
2013,16.3,ERP_11,Persons - 55-64 years (%)
2014,16,ERP_11,Persons - 55-64 years (%)
2015,15.5,ERP_11,Persons - 55-64 years (%)
2016,15.7,ERP_11,Persons - 55-64 years (%)
2011,10.5,ERP_12,Persons - 65-74 years (%)
2012,11.1,ERP_12,Persons - 65-74 years (%)
2013,11.2,ERP_12,Persons - 65-74 years (%)
2014,11.5,ERP_12,Persons - 65-74 years (%)
2015,12.2,ERP_12,Persons - 65-74 years (%)
2016,12.2,ERP_12,Persons - 65-74 years (%)
2011,2.9,ERP_13,Persons - 75-84 years (%)
2012,3.1,ERP_13,Persons - 75-84 years (%)
2013,3.2,ERP_13,Persons - 75-84 years (%)
2014,3.6,ERP_13,Persons - 75-84 years (%)
2015,3.8,ERP_13,Persons - 75-84 years (%)
2016,3.8,ERP_13,Persons - 75-84 years (%)
2011,1.2,ERP_14,Persons - 85 years and over (%)
2012,1.1,ERP_14,Persons - 85 years and over (%)
2013,1.3,ERP_14,Persons - 85 years and over (%)
2014,1.2,ERP_14,Persons - 85 years and over (%)
2015,1,ERP_14,Persons - 85 years and over (%)
2016,0.8,ERP_14,Persons - 85 years and over (%)
2011,112,ERP_M_2,Males - 0-4 years (no.)
2012,127,ERP_M_2,Males - 0-4 years (no.)
2013,127,ERP_M_2,Males - 0-4 years (no.)
2014,127,ERP_M_2,Males - 0-4 years (no.)
2015,120,ERP_M_2,Males - 0-4 years (no.)
2016,112,ERP_M_2,Males - 0-4 years (no.)
2011,140,ERP_M_3,Males - 5-9 years (no.)
2012,138,ERP_M_3,Males - 5-9 years (no.)
2013,148,ERP_M_3,Males - 5-9 years (no.)
