Time,Value,MEASURE,Description
2011,15.2,ERP_6,Persons - 0-14 years (%)
2012,15.5,ERP_6,Persons - 0-14 years (%)
2013,15.7,ERP_6,Persons - 0-14 years (%)
2014,16,ERP_6,Persons - 0-14 years (%)
2015,16.2,ERP_6,Persons - 0-14 years (%)
2016,16.4,ERP_6,Persons - 0-14 years (%)
2011,12.4,ERP_7,Persons - 15-24 years (%)
2012,12.1,ERP_7,Persons - 15-24 years (%)
2013,12,ERP_7,Persons - 15-24 years (%)
2014,11.8,ERP_7,Persons - 15-24 years (%)
2015,11.6,ERP_7,Persons - 15-24 years (%)
2016,11.3,ERP_7,Persons - 15-24 years (%)
2011,13.3,ERP_8,Persons - 25-34 years (%)
2012,13.1,ERP_8,Persons - 25-34 years (%)
2013,13,ERP_8,Persons - 25-34 years (%)
2014,13,ERP_8,Persons - 25-34 years (%)
2015,13.1,ERP_8,Persons - 25-34 years (%)
2016,13.3,ERP_8,Persons - 25-34 years (%)
2011,15.4,ERP_9,Persons - 35-44 years (%)
2012,15.2,ERP_9,Persons - 35-44 years (%)
2013,15,ERP_9,Persons - 35-44 years (%)
2014,14.9,ERP_9,Persons - 35-44 years (%)
2015,14.6,ERP_9,Persons - 35-44 years (%)
2016,14.6,ERP_9,Persons - 35-44 years (%)
2011,14.1,ERP_10,Persons - 45-54 years (%)
2012,14.2,ERP_10,Persons - 45-54 years (%)
2013,14,ERP_10,Persons - 45-54 years (%)
2014,13.9,ERP_10,Persons - 45-54 years (%)
2015,14.2,ERP_10,Persons - 45-54 years (%)
2016,14.3,ERP_10,Persons - 45-54 years (%)
2011,11.8,ERP_11,Persons - 55-64 years (%)
2012,11.5,ERP_11,Persons - 55-64 years (%)
2013,11.4,ERP_11,Persons - 55-64 years (%)
2014,11.5,ERP_11,Persons - 55-64 years (%)
2015,11.5,ERP_11,Persons - 55-64 years (%)
2016,11.3,ERP_11,Persons - 55-64 years (%)
2011,8.7,ERP_12,Persons - 65-74 years (%)
2012,9.1,ERP_12,Persons - 65-74 years (%)
2013,9.2,ERP_12,Persons - 65-74 years (%)
2014,9.1,ERP_12,Persons - 65-74 years (%)
2015,9.1,ERP_12,Persons - 65-74 years (%)
2016,9.1,ERP_12,Persons - 65-74 years (%)
2011,6.1,ERP_13,Persons - 75-84 years (%)
2012,6,ERP_13,Persons - 75-84 years (%)
2013,6.1,ERP_13,Persons - 75-84 years (%)
2014,6.1,ERP_13,Persons - 75-84 years (%)
2015,5.9,ERP_13,Persons - 75-84 years (%)
2016,5.8,ERP_13,Persons - 75-84 years (%)
2011,3.2,ERP_14,Persons - 85 years and over (%)
2012,3.1,ERP_14,Persons - 85 years and over (%)
2013,3.1,ERP_14,Persons - 85 years and over (%)
2014,3,ERP_14,Persons - 85 years and over (%)
2015,3.1,ERP_14,Persons - 85 years and over (%)
2016,3.1,ERP_14,Persons - 85 years and over (%)
2011,306,ERP_M_2,Males - 0-4 years (no.)
2012,326,ERP_M_2,Males - 0-4 years (no.)
