Time,Value,MEASURE,Description
2011,18.8,ERP_6,Persons - 0-14 years (%)
2012,18.6,ERP_6,Persons - 0-14 years (%)
2013,18.6,ERP_6,Persons - 0-14 years (%)
2014,18.7,ERP_6,Persons - 0-14 years (%)
2015,18.8,ERP_6,Persons - 0-14 years (%)
2016,19.2,ERP_6,Persons - 0-14 years (%)
2011,14.4,ERP_7,Persons - 15-24 years (%)
2012,14.4,ERP_7,Persons - 15-24 years (%)
2013,13.7,ERP_7,Persons - 15-24 years (%)
2014,13.5,ERP_7,Persons - 15-24 years (%)
2015,13,ERP_7,Persons - 15-24 years (%)
2016,12.4,ERP_7,Persons - 15-24 years (%)
2011,12.1,ERP_8,Persons - 25-34 years (%)
2012,12.5,ERP_8,Persons - 25-34 years (%)
2013,12.6,ERP_8,Persons - 25-34 years (%)
2014,12.8,ERP_8,Persons - 25-34 years (%)
2015,12.4,ERP_8,Persons - 25-34 years (%)
2016,11.9,ERP_8,Persons - 25-34 years (%)
2011,13.7,ERP_9,Persons - 35-44 years (%)
2012,13.3,ERP_9,Persons - 35-44 years (%)
2013,13.1,ERP_9,Persons - 35-44 years (%)
2014,12.7,ERP_9,Persons - 35-44 years (%)
2015,12.7,ERP_9,Persons - 35-44 years (%)
2016,12.9,ERP_9,Persons - 35-44 years (%)
2011,14.4,ERP_10,Persons - 45-54 years (%)
2012,14.1,ERP_10,Persons - 45-54 years (%)
2013,13.9,ERP_10,Persons - 45-54 years (%)
2014,13.9,ERP_10,Persons - 45-54 years (%)
2015,13.6,ERP_10,Persons - 45-54 years (%)
2016,13.2,ERP_10,Persons - 45-54 years (%)
2011,13.2,ERP_11,Persons - 55-64 years (%)
2012,13.2,ERP_11,Persons - 55-64 years (%)
2013,12.8,ERP_11,Persons - 55-64 years (%)
2014,12.8,ERP_11,Persons - 55-64 years (%)
2015,12.5,ERP_11,Persons - 55-64 years (%)
2016,12.1,ERP_11,Persons - 55-64 years (%)
2011,7.4,ERP_12,Persons - 65-74 years (%)
2012,8.2,ERP_12,Persons - 65-74 years (%)
2013,8.6,ERP_12,Persons - 65-74 years (%)
2014,8.8,ERP_12,Persons - 65-74 years (%)
2015,9.3,ERP_12,Persons - 65-74 years (%)
2016,9.6,ERP_12,Persons - 65-74 years (%)
2011,4.2,ERP_13,Persons - 75-84 years (%)
2012,4.3,ERP_13,Persons - 75-84 years (%)
2013,4.5,ERP_13,Persons - 75-84 years (%)
2014,4.6,ERP_13,Persons - 75-84 years (%)
2015,4.9,ERP_13,Persons - 75-84 years (%)
2016,4.9,ERP_13,Persons - 75-84 years (%)
2011,3.2,ERP_14,Persons - 85 years and over (%)
2012,3.3,ERP_14,Persons - 85 years and over (%)
2013,3.3,ERP_14,Persons - 85 years and over (%)
2014,3.5,ERP_14,Persons - 85 years and over (%)
2015,3.5,ERP_14,Persons - 85 years and over (%)
2016,3.8,ERP_14,Persons - 85 years and over (%)
2011,236,ERP_M_2,Males - 0-4 years (no.)
2012,235,ERP_M_2,Males - 0-4 years (no.)
2013,214,ERP_M_2,Males - 0-4 years (no.)
2014,215,ERP_M_2,Males - 0-4 years (no.)
2015,220,ERP_M_2,Males - 0-4 years (no.)
2016,247,ERP_M_2,Males - 0-4 years (no.)
2011,194,ERP_M_3,Males - 5-9 years (no.)
2012,199,ERP_M_3,Males - 5-9 years (no.)
2013,229,ERP_M_3,Males - 5-9 years (no.)
2014,241,ERP_M_3,Males - 5-9 years (no.)
2015,243,ERP_M_3,Males - 5-9 years (no.)
2016,251,ERP_M_3,Males - 5-9 years (no.)
2011,225,ERP_M_4,Males - 10-14 years (no.)
2012,224,ERP_M_4,Males - 10-14 years (no.)
2013,227,ERP_M_4,Males - 10-14 years (no.)
2014,221,ERP_M_4,Males - 10-14 years (no.)
2015,225,ERP_M_4,Males - 10-14 years (no.)
2016,215,ERP_M_4,Males - 10-14 years (no.)
2011,272,ERP_M_5,Males - 15-19 years (no.)
2012,251,ERP_M_5,Males - 15-19 years (no.)
2013,224,ERP_M_5,Males - 15-19 years (no.)
2014,233,ERP_M_5,Males - 15-19 years (no.)
2015,235,ERP_M_5,Males - 15-19 years (no.)
2016,238,ERP_M_5,Males - 15-19 years (no.)
2011,246,ERP_M_6,Males - 20-24 years (no.)
2012,267,ERP_M_6,Males - 20-24 years (no.)
2013,268,ERP_M_6,Males - 20-24 years (no.)
2014,256,ERP_M_6,Males - 20-24 years (no.)
2015,240,ERP_M_6,Males - 20-24 years (no.)
2016,220,ERP_M_6,Males - 20-24 years (no.)
2011,194,ERP_M_7,Males - 25-29 years (no.)
2012,193,ERP_M_7,Males - 25-29 years (no.)
2013,206,ERP_M_7,Males - 25-29 years (no.)
2014,202,ERP_M_7,Males - 25-29 years (no.)
2015,196,ERP_M_7,Males - 25-29 years (no.)
2016,197,ERP_M_7,Males - 25-29 years (no.)
