Time,Value,MEASURE,Description
2011,16.4,ERP_6,Persons - 0-14 years (%)
2012,16.4,ERP_6,Persons - 0-14 years (%)
2013,16.4,ERP_6,Persons - 0-14 years (%)
2014,16.2,ERP_6,Persons - 0-14 years (%)
2015,16.2,ERP_6,Persons - 0-14 years (%)
2016,16.1,ERP_6,Persons - 0-14 years (%)
2011,12.3,ERP_7,Persons - 15-24 years (%)
2012,12.2,ERP_7,Persons - 15-24 years (%)
2013,12,ERP_7,Persons - 15-24 years (%)
2014,12.1,ERP_7,Persons - 15-24 years (%)
2015,12.2,ERP_7,Persons - 15-24 years (%)
2016,12.6,ERP_7,Persons - 15-24 years (%)
2011,16.3,ERP_8,Persons - 25-34 years (%)
2012,16.4,ERP_8,Persons - 25-34 years (%)
2013,16.3,ERP_8,Persons - 25-34 years (%)
2014,16.3,ERP_8,Persons - 25-34 years (%)
2015,16.4,ERP_8,Persons - 25-34 years (%)
2016,16.7,ERP_8,Persons - 25-34 years (%)
2011,16.2,ERP_9,Persons - 35-44 years (%)
2012,16,ERP_9,Persons - 35-44 years (%)
2013,15.7,ERP_9,Persons - 35-44 years (%)
2014,15.5,ERP_9,Persons - 35-44 years (%)
2015,15.3,ERP_9,Persons - 35-44 years (%)
2016,14.8,ERP_9,Persons - 35-44 years (%)
2011,13.5,ERP_10,Persons - 45-54 years (%)
2012,13.6,ERP_10,Persons - 45-54 years (%)
2013,13.8,ERP_10,Persons - 45-54 years (%)
2014,13.6,ERP_10,Persons - 45-54 years (%)
2015,13.5,ERP_10,Persons - 45-54 years (%)
2016,13.3,ERP_10,Persons - 45-54 years (%)
2011,10.2,ERP_11,Persons - 55-64 years (%)
2012,10.3,ERP_11,Persons - 55-64 years (%)
2013,10.3,ERP_11,Persons - 55-64 years (%)
2014,10.4,ERP_11,Persons - 55-64 years (%)
2015,10.6,ERP_11,Persons - 55-64 years (%)
2016,10.7,ERP_11,Persons - 55-64 years (%)
2011,6,ERP_12,Persons - 65-74 years (%)
2012,6.5,ERP_12,Persons - 65-74 years (%)
2013,6.6,ERP_12,Persons - 65-74 years (%)
2014,6.6,ERP_12,Persons - 65-74 years (%)
2015,6.8,ERP_12,Persons - 65-74 years (%)
2016,7.2,ERP_12,Persons - 65-74 years (%)
2011,4.9,ERP_13,Persons - 75-84 years (%)
2012,4.9,ERP_13,Persons - 75-84 years (%)
2013,4.9,ERP_13,Persons - 75-84 years (%)
2014,5.1,ERP_13,Persons - 75-84 years (%)
2015,5,ERP_13,Persons - 75-84 years (%)
2016,4.7,ERP_13,Persons - 75-84 years (%)
2011,2.5,ERP_14,Persons - 85 years and over (%)
2012,2.4,ERP_14,Persons - 85 years and over (%)
2013,2.5,ERP_14,Persons - 85 years and over (%)
2014,2.5,ERP_14,Persons - 85 years and over (%)
2015,2.5,ERP_14,Persons - 85 years and over (%)
2016,2.6,ERP_14,Persons - 85 years and over (%)
2011,472,ERP_M_2,Males - 0-4 years (no.)
2012,480,ERP_M_2,Males - 0-4 years (no.)
2013,470,ERP_M_2,Males - 0-4 years (no.)
2014,462,ERP_M_2,Males - 0-4 years (no.)
2015,441,ERP_M_2,Males - 0-4 years (no.)
2016,458,ERP_M_2,Males - 0-4 years (no.)
2011,385,ERP_M_3,Males - 5-9 years (no.)
2012,394,ERP_M_3,Males - 5-9 years (no.)
2013,418,ERP_M_3,Males - 5-9 years (no.)
2014,419,ERP_M_3,Males - 5-9 years (no.)
2015,433,ERP_M_3,Males - 5-9 years (no.)
2016,410,ERP_M_3,Males - 5-9 years (no.)
2011,324,ERP_M_4,Males - 10-14 years (no.)
2012,332,ERP_M_4,Males - 10-14 years (no.)
2013,334,ERP_M_4,Males - 10-14 years (no.)
2014,341,ERP_M_4,Males - 10-14 years (no.)
2015,354,ERP_M_4,Males - 10-14 years (no.)
2016,369,ERP_M_4,Males - 10-14 years (no.)
2011,339,ERP_M_5,Males - 15-19 years (no.)
