Time,Value,MEASURE,Description
2011,22.2,ERP_6,Persons - 0-14 years (%)
2012,21.9,ERP_6,Persons - 0-14 years (%)
2013,21.5,ERP_6,Persons - 0-14 years (%)
2014,21.1,ERP_6,Persons - 0-14 years (%)
2015,20.7,ERP_6,Persons - 0-14 years (%)
2016,20.4,ERP_6,Persons - 0-14 years (%)
2011,14.7,ERP_7,Persons - 15-24 years (%)
2012,14.5,ERP_7,Persons - 15-24 years (%)
2013,14.6,ERP_7,Persons - 15-24 years (%)
2014,14.8,ERP_7,Persons - 15-24 years (%)
2015,14.7,ERP_7,Persons - 15-24 years (%)
2016,14.3,ERP_7,Persons - 15-24 years (%)
2011,13,ERP_8,Persons - 25-34 years (%)
2012,13,ERP_8,Persons - 25-34 years (%)
2013,13.1,ERP_8,Persons - 25-34 years (%)
2014,13.2,ERP_8,Persons - 25-34 years (%)
2015,13.3,ERP_8,Persons - 25-34 years (%)
2016,13.3,ERP_8,Persons - 25-34 years (%)
2011,15.2,ERP_9,Persons - 35-44 years (%)
2012,14.6,ERP_9,Persons - 35-44 years (%)
2013,14.4,ERP_9,Persons - 35-44 years (%)
2014,13.8,ERP_9,Persons - 35-44 years (%)
2015,13.7,ERP_9,Persons - 35-44 years (%)
2016,13.5,ERP_9,Persons - 35-44 years (%)
2011,15.2,ERP_10,Persons - 45-54 years (%)
2012,15.1,ERP_10,Persons - 45-54 years (%)
2013,14.8,ERP_10,Persons - 45-54 years (%)
2014,15,ERP_10,Persons - 45-54 years (%)
2015,14.8,ERP_10,Persons - 45-54 years (%)
2016,14.5,ERP_10,Persons - 45-54 years (%)
2011,11.5,ERP_11,Persons - 55-64 years (%)
2012,11.7,ERP_11,Persons - 55-64 years (%)
2013,11.9,ERP_11,Persons - 55-64 years (%)
2014,11.6,ERP_11,Persons - 55-64 years (%)
2015,11.5,ERP_11,Persons - 55-64 years (%)
2016,11.6,ERP_11,Persons - 55-64 years (%)
2011,5.9,ERP_12,Persons - 65-74 years (%)
2012,6.5,ERP_12,Persons - 65-74 years (%)
2013,7,ERP_12,Persons - 65-74 years (%)
2014,7.5,ERP_12,Persons - 65-74 years (%)
2015,7.8,ERP_12,Persons - 65-74 years (%)
2016,8,ERP_12,Persons - 65-74 years (%)
2011,2.1,ERP_13,Persons - 75-84 years (%)
2012,2.3,ERP_13,Persons - 75-84 years (%)
2013,2.4,ERP_13,Persons - 75-84 years (%)
2014,2.6,ERP_13,Persons - 75-84 years (%)
2015,2.8,ERP_13,Persons - 75-84 years (%)
2016,3.1,ERP_13,Persons - 75-84 years (%)
2011,0.7,ERP_14,Persons - 85 years and over (%)
2012,0.7,ERP_14,Persons - 85 years and over (%)
2013,0.7,ERP_14,Persons - 85 years and over (%)
2014,0.7,ERP_14,Persons - 85 years and over (%)
2015,0.8,ERP_14,Persons - 85 years and over (%)
2016,0.9,ERP_14,Persons - 85 years and over (%)
2011,377,ERP_M_2,Males - 0-4 years (no.)
2012,373,ERP_M_2,Males - 0-4 years (no.)
