Time,Value,MEASURE,Description
2011,16.9,ERP_6,Persons - 0-14 years (%)
2012,17,ERP_6,Persons - 0-14 years (%)
2013,16.9,ERP_6,Persons - 0-14 years (%)
2014,17,ERP_6,Persons - 0-14 years (%)
2015,17,ERP_6,Persons - 0-14 years (%)
2016,17,ERP_6,Persons - 0-14 years (%)
2011,12.6,ERP_7,Persons - 15-24 years (%)
2012,12.7,ERP_7,Persons - 15-24 years (%)
2013,12.8,ERP_7,Persons - 15-24 years (%)
2014,12.9,ERP_7,Persons - 15-24 years (%)
2015,13,ERP_7,Persons - 15-24 years (%)
2016,13.4,ERP_7,Persons - 15-24 years (%)
2011,18.3,ERP_8,Persons - 25-34 years (%)
2012,17.4,ERP_8,Persons - 25-34 years (%)
2013,17.1,ERP_8,Persons - 25-34 years (%)
2014,17.2,ERP_8,Persons - 25-34 years (%)
2015,17.3,ERP_8,Persons - 25-34 years (%)
2016,17.5,ERP_8,Persons - 25-34 years (%)
2011,16.5,ERP_9,Persons - 35-44 years (%)
2012,16.4,ERP_9,Persons - 35-44 years (%)
2013,16.1,ERP_9,Persons - 35-44 years (%)
2014,15.7,ERP_9,Persons - 35-44 years (%)
2015,15.5,ERP_9,Persons - 35-44 years (%)
2016,15.4,ERP_9,Persons - 35-44 years (%)
2011,13.5,ERP_10,Persons - 45-54 years (%)
2012,13.5,ERP_10,Persons - 45-54 years (%)
2013,13.6,ERP_10,Persons - 45-54 years (%)
2014,13.5,ERP_10,Persons - 45-54 years (%)
2015,13.6,ERP_10,Persons - 45-54 years (%)
2016,13.4,ERP_10,Persons - 45-54 years (%)
2011,9.9,ERP_11,Persons - 55-64 years (%)
2012,10,ERP_11,Persons - 55-64 years (%)
2013,10.3,ERP_11,Persons - 55-64 years (%)
2014,10.5,ERP_11,Persons - 55-64 years (%)
2015,10.5,ERP_11,Persons - 55-64 years (%)
2016,10.7,ERP_11,Persons - 55-64 years (%)
2011,5.2,ERP_12,Persons - 65-74 years (%)
2012,5.4,ERP_12,Persons - 65-74 years (%)
2013,5.5,ERP_12,Persons - 65-74 years (%)
2014,5.6,ERP_12,Persons - 65-74 years (%)
2015,5.9,ERP_12,Persons - 65-74 years (%)
2016,6,ERP_12,Persons - 65-74 years (%)
2011,4.3,ERP_13,Persons - 75-84 years (%)
2012,4.3,ERP_13,Persons - 75-84 years (%)
2013,4,ERP_13,Persons - 75-84 years (%)
2014,3.9,ERP_13,Persons - 75-84 years (%)
2015,3.8,ERP_13,Persons - 75-84 years (%)
2016,3.9,ERP_13,Persons - 75-84 years (%)
2011,2.2,ERP_14,Persons - 85 years and over (%)
2012,2.4,ERP_14,Persons - 85 years and over (%)
2013,2.4,ERP_14,Persons - 85 years and over (%)
2014,2.5,ERP_14,Persons - 85 years and over (%)
2015,2.4,ERP_14,Persons - 85 years and over (%)
2016,2.3,ERP_14,Persons - 85 years and over (%)
2011,311,ERP_M_2,Males - 0-4 years (no.)
2012,304,ERP_M_2,Males - 0-4 years (no.)
2013,298,ERP_M_2,Males - 0-4 years (no.)
2014,293,ERP_M_2,Males - 0-4 years (no.)
2015,299,ERP_M_2,Males - 0-4 years (no.)
2016,308,ERP_M_2,Males - 0-4 years (no.)
2011,277,ERP_M_3,Males - 5-9 years (no.)
2012,290,ERP_M_3,Males - 5-9 years (no.)
2013,303,ERP_M_3,Males - 5-9 years (no.)
2014,315,ERP_M_3,Males - 5-9 years (no.)
2015,313,ERP_M_3,Males - 5-9 years (no.)
2016,291,ERP_M_3,Males - 5-9 years (no.)
2011,216,ERP_M_4,Males - 10-14 years (no.)
2012,225,ERP_M_4,Males - 10-14 years (no.)
2013,216,ERP_M_4,Males - 10-14 years (no.)
2014,228,ERP_M_4,Males - 10-14 years (no.)
2015,241,ERP_M_4,Males - 10-14 years (no.)
2016,261,ERP_M_4,Males - 10-14 years (no.)
2011,220,ERP_M_5,Males - 15-19 years (no.)
2012,223,ERP_M_5,Males - 15-19 years (no.)
2013,240,ERP_M_5,Males - 15-19 years (no.)
2014,232,ERP_M_5,Males - 15-19 years (no.)
2015,236,ERP_M_5,Males - 15-19 years (no.)
2016,251,ERP_M_5,Males - 15-19 years (no.)
2011,332,ERP_M_6,Males - 20-24 years (no.)
2012,345,ERP_M_6,Males - 20-24 years (no.)
2013,358,ERP_M_6,Males - 20-24 years (no.)
2014,380,ERP_M_6,Males - 20-24 years (no.)
2015,400,ERP_M_6,Males - 20-24 years (no.)
2016,420,ERP_M_6,Males - 20-24 years (no.)
2011,486,ERP_M_7,Males - 25-29 years (no.)
2012,451,ERP_M_7,Males - 25-29 years (no.)
2013,434,ERP_M_7,Males - 25-29 years (no.)
2014,433,ERP_M_7,Males - 25-29 years (no.)
2015,426,ERP_M_7,Males - 25-29 years (no.)
2016,446,ERP_M_7,Males - 25-29 years (no.)
2011,393,ERP_M_8,Males - 30-34 years (no.)
2012,421,ERP_M_8,Males - 30-34 years (no.)
