Time,Value,MEASURE,Description
2011,16.2,ERP_6,Persons - 0-14 years (%)
2012,16.3,ERP_6,Persons - 0-14 years (%)
2013,16.2,ERP_6,Persons - 0-14 years (%)
2014,16.3,ERP_6,Persons - 0-14 years (%)
2015,16.2,ERP_6,Persons - 0-14 years (%)
2016,16.2,ERP_6,Persons - 0-14 years (%)
2011,15.3,ERP_7,Persons - 15-24 years (%)
2012,15.5,ERP_7,Persons - 15-24 years (%)
2013,15.9,ERP_7,Persons - 15-24 years (%)
2014,15.9,ERP_7,Persons - 15-24 years (%)
2015,15.9,ERP_7,Persons - 15-24 years (%)
2016,15.9,ERP_7,Persons - 15-24 years (%)
2011,20.7,ERP_8,Persons - 25-34 years (%)
2012,20.2,ERP_8,Persons - 25-34 years (%)
2013,19.9,ERP_8,Persons - 25-34 years (%)
2014,19.7,ERP_8,Persons - 25-34 years (%)
2015,19.9,ERP_8,Persons - 25-34 years (%)
2016,20.2,ERP_8,Persons - 25-34 years (%)
2011,12.6,ERP_9,Persons - 35-44 years (%)
2012,12.5,ERP_9,Persons - 35-44 years (%)
2013,12.4,ERP_9,Persons - 35-44 years (%)
2014,12.4,ERP_9,Persons - 35-44 years (%)
2015,12.3,ERP_9,Persons - 35-44 years (%)
2016,12.2,ERP_9,Persons - 35-44 years (%)
2011,11.3,ERP_10,Persons - 45-54 years (%)
2012,11.4,ERP_10,Persons - 45-54 years (%)
2013,11.3,ERP_10,Persons - 45-54 years (%)
2014,11.2,ERP_10,Persons - 45-54 years (%)
2015,11.3,ERP_10,Persons - 45-54 years (%)
2016,11.4,ERP_10,Persons - 45-54 years (%)
2011,9.5,ERP_11,Persons - 55-64 years (%)
2012,9.4,ERP_11,Persons - 55-64 years (%)
2013,9.5,ERP_11,Persons - 55-64 years (%)
2014,9.7,ERP_11,Persons - 55-64 years (%)
2015,9.9,ERP_11,Persons - 55-64 years (%)
2016,9.9,ERP_11,Persons - 55-64 years (%)
2011,7.1,ERP_12,Persons - 65-74 years (%)
2012,7.1,ERP_12,Persons - 65-74 years (%)
2013,7.1,ERP_12,Persons - 65-74 years (%)
2014,7,ERP_12,Persons - 65-74 years (%)
2015,7,ERP_12,Persons - 65-74 years (%)
2016,7.1,ERP_12,Persons - 65-74 years (%)
2011,6.3,ERP_13,Persons - 75-84 years (%)
2012,6.1,ERP_13,Persons - 75-84 years (%)
