Suburb , 2011, 2012, 2013, 2014 , 2015 , 2016 
Beaumaris ,8699 ,8812 ,8832 ,8948 ,9080 ,9281 ,
Boronia ,13225 ,13276 ,13389 ,13491 ,13597 ,13890 ,
Brighton East ,9582 ,9702 ,9804 ,9940 ,10106 ,10091 ,
Brunswick East ,4225 ,4386 ,4482 ,4527 ,4764 ,5013 ,
Brunswick West ,6113 ,6335 ,6418 ,6446 ,6453 ,6557 ,
Clayton ,11578 ,11766 ,11710 ,11792 ,11796 ,11861 ,
Coburg ,13624 ,14396 ,14823 ,14902 ,15432 ,15722 ,
Fitzroy ,4516 ,4641 ,4700 ,4777 ,4879 ,4929 ,
Langwarrin ,13809 ,14103 ,14171 ,14525 ,14894 ,15042 ,
Lysterfield ,4412 ,4335 ,4450 ,4491 ,4541 ,4589 ,
Macedon ,2353 ,2358 ,2424 ,2404 ,2389 ,2397 ,
Meadow Heights ,7242 ,7735 ,7827 ,7999 ,8154 ,8262 ,
Mentone ,9035 ,8637 ,8905 ,9080 ,9037 ,9103 ,
Montrose ,4155 ,4243 ,4240 ,4326 ,4339 ,4352 ,
Moonee Ponds ,7396 ,7633 ,7607 ,7718 ,7699 ,7892 ,
Mount Evelyn ,5597 ,5691 ,5664 ,5727 ,5826 ,5930 ,
Murrumbeena ,4708 ,4759 ,4837 ,4926 ,4949 ,5035 ,
Springvale ,11818 ,12479 ,13078 ,13160 ,12056 ,12320 ,
